title,genre_id,platform_id,publisher_id,metacritic_score,release_date
Fallout: New Vegas,5,4,7,82,2010-10-19
Carnival Games,8,8,30,42,2007-08-28
Far Cry 4,2,2,8,84,2014-11-18
World Soccer Winning Eleven 9,4,3,27,89,2006-02-07
Forza Motorsport 2,7,4,5,91,2007-05-29
Tekken Tag Tournament,9,3,12,87,2000-10-25
Fallout 3,5,1,7,88,2008-10-28
The Elder Scrolls V: Skyrim,5,6,7,92,2011-11-11
NBA 2K16,4,2,31,87,2015-09-29
Far Cry 5,1,2,8,79,2018-03-27
Battlefield 4,2,2,4,83,2013-11-15
Assassin's Creed IV: Black Flag,3,1,8,87,2013-10-29
Tony Hawk's Underground,4,3,2,87,2003-10-27
Just Dance 2014,12,8,8,74,2013-10-08
Sports Champions,4,1,9,76,2010-09-17
World Soccer Winning Eleven 8 International,4,3,27,93,2005-02-01
LEGO Indiana Jones: The Original Adventures,11,4,13,75,2008-06-03
The Sims: Unleashed,6,6,4,73,2002-09-23
Ratchet & Clank: Size Matters,10,7,9,85,2007-02-13
FIFA 17,4,5,4,88,2016-09-27
FIFA Soccer 2005,4,3,3,84,2004-10-12
Tony Hawk's Pro Skater 4,4,3,2,96,2002-10-23
MySims,6,10,4,67,2007-09-18
Midnight Club 3: DUB Edition,7,7,1,72,2005-06-27
SOCOM: U.S. Navy SEALs,2,3,9,80,2002-08-27
Battlefield 4,2,1,4,87,2013-10-29
Jak and Daxter: The Precursor Legacy,10,3,9,90,2001-12-04
Pro Evolution Soccer 2008,4,3,27,82,2008-03-11
FIFA Soccer 10,4,1,3,90,2009-10-20
Guitar Hero: World Tour,8,8,2,84,2008-10-26
The Simpsons: Road Rage,7,3,4,61,2001-11-24
Star Wars Battlefront,2,3,13,81,2004-09-20
Doom II,2,6,10,93,1994-09-30
Assassin's Creed Syndicate,1,2,8,86,2015-10-23
Star Wars Battlefront II,2,3,13,85,2005-11-01
Cooking Mama 2: Dinner With Friends,6,10,14,69,2007-11-13
The Getaway,1,3,9,77,2003-01-19
Tomb Raider III: Adventures of Lara Croft,11,9,18,82,1998-11-21
Grand Theft Auto: Liberty City Stories,1,3,1,83,2006-06-06
Battlefield 4,2,4,4,87,2013-10-29
Batman: Arkham Asylum,1,4,18,91,2009-08-25
Resident Evil 5,1,4,22,86,2009-03-13
Assassin's Creed: Brotherhood,1,4,8,91,2010-11-16
LEGO Star Wars: The Video Game,1,3,18,79,2005-04-02
FIFA Soccer 11,4,4,3,87,2010-09-28
NBA 2K17,4,2,31,90,2016-09-16
FIFA Soccer 2004,4,3,3,80,2003-11-04
Borderlands,2,4,34,83,2009-10-20
Battlefield: Bad Company 2,2,4,4,90,2010-03-02
Mario & Sonic at the Olympic Winter Games,4,10,21,76,2009-10-13
Guitar Hero: On Tour,8,10,2,71,2008-06-22
Tekken 4,9,3,12,79,2002-09-23
LEGO Batman: The Videogame,11,4,15,75,2008-09-23
Halo: The Master Chief Collection,2,5,6,88,2014-11-11
LittleBigPlanet 2,10,1,9,91,2011-01-18
Grand Theft Auto 2,1,9,1,69,1999-10-25
Destiny,2,5,2,83,2014-09-09
Spider-Man 2,1,3,2,79,2004-06-28
Crash Bash,8,9,9,68,2000-11-06
The Elder Scrolls V: Skyrim Special Edition,5,2,7,83,2016-10-28
Assassin's Creed IV: Black Flag,3,4,8,85,2013-10-29
NBA 2K18,4,2,31,81,2017-09-19
Max Payne,2,3,1,81,2001-12-06
Madden NFL 16,4,2,3,82,2015-08-25
The Lord of the Rings: The Return of the King,1,3,4,84,2003-11-05
Madden NFL 17,4,2,3,85,2016-08-23
FIFA 16,4,5,3,85,2015-09-22
L.A. Noire,11,1,1,91,2011-11-15
007: Tomorrow Never Dies,2,9,4,62,1999-11-16
WWF SmackDown! 2: Know Your Role,9,9,32,87,2000-11-21
Assassin's Creed IV: Black Flag,3,2,8,83,2013-11-15
Assassin's Creed Odyssey,3,2,8,95,2018-10-05
Fallout: New Vegas,5,1,7,82,2010-10-19
Club Penguin: Elite Penguin Force,11,10,36,70,2008-11-25
FIFA 18,4,5,3,80,2017-09-29
The Elder Scrolls IV: Oblivion,5,1,7,93,2007-03-20
Tom Clancy's Ghost Recon Wildlands,2,2,8,70,2017-03-07
NBA 2K13,4,4,31,86,2012-10-02
Mass Effect 2,5,4,4,95,2010-01-26
LEGO Batman: The Videogame,11,8,15,73,2008-09-23
Saints Row 2,1,4,32,79,2008-10-14
Call of Duty: Ghosts,2,5,2,75,2013-11-22
LEGO Batman: The Videogame,11,10,15,78,2008-09-23
Kung Fu Panda,10,4,2,75,2008-06-03
Mass Effect 3,5,4,4,95,2012-03-06
Rayman,10,9,8,70,1995-09-01
Tom Clancy's Splinter Cell,1,14,8,93,2002-11-17
WWE SmackDown! vs. Raw 2006,9,3,32,84,2005-11-15
Battlefield: Bad Company 2,2,1,4,89,2010-03-02
Street Fighter IV,9,4,22,93,2009-02-17
Madden NFL 13,4,4,3,80,2012-08-28
FIFA 15,4,4,3,69,2014-09-23
Mass Effect,5,4,5,92,2007-11-20
Mortal Kombat (2011),9,1,33,85,2011-04-19
Cooking Mama: Cook Off,6,8,14,59,2007-03-20
Sega Superstars Tennis,4,4,21,69,2008-03-18
Imagine: Babyz,6,10,8,35,2007-10-23
Colin McRae Rally,7,9,9,79,2000-01-31
Mafia III,3,2,34,69,2016-10-07
The Elder Scrolls III: Morrowind,5,14,7,82,2002-06-06
Assassin's Creed: Brotherhood,1,1,8,91,2010-11-16
Madden NFL 10,4,4,3,86,2009-08-14
BioShock,2,4,34,96,2007-08-21
Finding Nemo,10,12,32,70,2003-05-10
Gran Turismo (PSP),7,15,9,78,2009-10-01
Medal of Honor,2,1,4,67,2010-10-12
Imagine: Fashion Designer,6,10,8,30,2007-10-23
Need for Speed: Hot Pursuit,7,1,4,89,2010-11-16
Killzone 3,2,1,9,82,2011-02-22
Skylanders: Spyro's Adventure,1,8,2,80,2011-10-16
A Bug's Life,10,9,9,36,1998-10-31
Star Wars: The Force Unleashed,1,4,13,71,2008-09-16
Saints Row: The Third,1,4,32,83,2011-11-15
Battlefield 3,2,6,4,89,2011-10-25
Need for Speed: Most Wanted (2012),7,1,4,85,2012-10-30
Far Cry: Primal,3,2,8,72,2016-02-23
L.A. Noire,11,4,1,91,2011-11-15
Overwatch,2,5,25,87,2016-05-24
Need for Speed (2015),7,2,4,70,2015-11-03
Skate 3,4,4,3,83,2010-05-11
Madden NFL 13,4,1,3,83,2012-08-28
Madden NFL 12,4,4,3,78,2011-08-30
Call of Duty 3,2,4,2,80,2006-11-07
LEGO Star Wars II: The Original Trilogy,1,3,13,84,2006-09-12
Madden NFL 11,4,4,3,83,2010-08-10
Burnout 3: Takedown,7,3,4,93,2004-09-07
Medal of Honor,2,9,4,93,1999-11-11
Call of Duty 2: Big Red One,2,3,2,85,2005-11-01
Final Fantasy XIII-2,5,1,17,83,2012-01-31
Medal of Honor Heroes,2,7,4,67,2006-10-20
Guitar Hero: World Tour,8,4,2,86,2008-10-26
Need for Speed: Shift,7,1,4,82,2009-09-15
Hannah Montana,1,10,41,65,2006-10-10
Medal of Honor,2,4,4,73,2010-10-12
NBA 2K12,4,4,31,91,2011-10-04
NBA 2K13,4,1,31,89,2012-10-02
FIFA Soccer 10,4,4,3,89,2009-10-20
Madden NFL 18,4,2,3,82,2017-08-25
LittleBigPlanet,10,7,9,88,2009-11-17
Grand Theft Auto: Episodes from Liberty City,11,4,1,90,2009-10-29
FIFA Soccer 09,4,1,4,86,2008-10-14
WWE SmackDown vs. RAW 2007,9,3,32,80,2006-11-14
Dragon Age: Origins,5,4,4,85,2009-11-03
FIFA 16,4,1,3,90,2015-09-22
Madden NFL 09,4,4,3,85,2008-08-12
Crazy Taxi,7,3,35,82,2001-05-14
Tomb Raider (2013),1,1,17,89,2013-03-05
Midnight Club: Los Angeles,7,1,1,83,2008-10-20
Marvel: Ultimate Alliance,5,4,2,83,2006-10-24
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,1,14,1,98,2003-10-31
Mortal Kombat: Deadly Alliance,9,3,39,82,2002-11-16
Game Party,8,8,39,26,2007-11-27
Saints Row: The Third,1,1,32,83,2011-11-15
Madden NFL 16,4,5,3,84,2015-08-25
Rock Band,8,4,42,91,2007-11-20
Pure,7,4,36,83,2008-09-16
LEGO Harry Potter: Years 1-4,11,8,15,79,2010-06-29
Madden NFL 17,4,5,3,81,2016-08-23
Twisted Metal 2,7,9,9,87,1996-10-31
Tom Clancy's Rainbow Six: Vegas 2,2,4,8,82,2008-03-18
Sonic Adventure,10,18,21,89,1999-09-09
Need for Speed Carbon: Own the City,7,7,4,74,2006-10-31
Halo: Combat Evolved Anniversary,2,4,6,80,2011-11-15
Kinect: Disneyland Adventures,3,4,6,85,2011-11-15
Pro Evolution Soccer 2011,4,1,27,60,2010-10-05
NBA 2K16,4,5,31,83,2015-09-29
ATV Offroad Fury,7,3,9,84,2001-02-05
Midnight Club: Los Angeles,7,4,1,80,2008-10-20
Madden NFL 11,4,1,3,84,2010-08-10
Theme Hospital,13,6,4,55,1997-03-31
Frogger's Adventures: Temple of the Frog,11,12,27,67,2001-10-24
Dead Island,1,4,44,70,2011-09-06
The Incredibles,1,3,32,59,2004-10-31
Madden NFL 10,4,1,3,85,2009-08-14
Madden NFL 08,4,4,3,87,2007-08-14
Sonic's Ultimate Genesis Collection,8,1,21,81,2009-02-10
LEGO Indiana Jones: The Original Adventures,11,8,13,78,2008-06-03
Dragon Age: Inquisition,5,2,4,86,2014-11-18
Kinect Sports: Season Two,4,4,6,66,2011-10-25
Madden NFL 25,4,4,3,78,2013-08-27
Grand Theft Auto,1,9,26,60,1998-06-30
My Fitness Coach,4,8,8,71,2008-12-02
Assassin's Creed IV: Black Flag,1,5,8,83,2013-11-22
The Sims 3,6,4,4,80,2010-10-26
LEGO Star Wars: The Complete Saga,1,1,13,80,2007-11-06
Dead Island,1,1,44,67,2011-09-06
Tomb Raider II,11,6,18,82,1997-10-31
LEGO Harry Potter: Years 1-4,11,10,15,80,2010-06-29
Pro Evolution Soccer 2010,4,1,27,70,2009-11-03
Need for Speed Underground 2,7,14,4,80,2004-11-15
Madden NFL 12,4,1,3,78,2011-08-30
No Man's Sky,3,2,46,68,2016-08-09
Guitar Hero III: Legends of Rock,8,1,20,82,2007-10-28
Call of Duty 3,2,8,2,68,2006-11-14
Prince of Persia: The Sands of Time,11,3,8,90,2003-11-06
Star Wars: The Force Unleashed,1,1,13,68,2008-09-16
Guitar Hero II,8,4,20,92,2007-04-03
Rock Band 2,8,4,42,92,2008-09-14
Need for Speed: Hot Pursuit,7,4,4,88,2010-11-16
BioShock 2,2,4,34,86,2010-02-09
High School Musical: Makin' the Cut!,14,10,36,73,2007-08-14
FIFA 15,4,5,3,79,2014-09-23
Pro Evolution Soccer 2012,4,1,27,75,2011-09-27
Star Wars: Knights of the Old Republic,5,14,13,94,2003-07-17
Final Fantasy XIII,5,4,17,81,2010-03-09
Need for Speed: Payback,7,2,4,58,2017-11-10
ATV Offroad Fury 2,7,3,9,87,2002-11-09
Your Shape featuring Jenny McCarthy,4,8,8,60,2009-11-24
Call of Duty: Roads to Victory,2,7,2,61,2007-03-13
SimCity 2000,6,6,49,80,1993-01-01
NBA 2K12,4,1,31,90,2011-10-04
Borderlands,2,1,34,82,2009-10-20
Mortal Kombat (2011),9,4,33,86,2011-04-19
Tony Hawk's Pro Skater,4,19,2,93,2000-02-29
Need for Speed: Hot Pursuit 2,7,3,4,87,2002-10-01
PES 2009: Pro Evolution Soccer,4,1,27,77,2008-11-11
NBA 2K11,4,4,31,88,2010-10-05
Grand Theft Auto: Episodes from Liberty City,11,1,1,90,2010-04-13
Need for Speed: Most Wanted 5-1-0,7,7,4,74,2005-11-15
Metal Gear Solid: Peace Walker,1,7,27,86,2010-06-08
Rock Band,8,8,42,82,2008-06-22
Sim Theme Park,13,6,4,81,1999-10-31
Portal 2,2,4,52,96,2011-04-19
UFC 2009 Undisputed,9,4,32,84,2009-05-19
The Sims 2: Pets,6,10,4,48,2006-10-31
Call of Duty 2,2,4,2,88,2005-11-17
R4: Ridge Racer Type 4,7,9,12,91,1999-05-04
The Incredibles,1,12,32,54,2004-10-31
Tom Clancy's Splinter Cell: Conviction,1,4,8,86,2010-04-13
Need for Speed: Undercover,7,1,4,59,2008-11-17
Dark Souls,5,1,54,90,2011-10-04
Mortal Kombat vs DC Universe,9,1,39,76,2008-11-16
Need for Speed: ProStreet,7,4,4,71,2007-11-15
Dragon Quest XI: Echoes of an Elusive Age,5,2,17,95,2018-09-04
PGR4 - Project Gotham Racing 4,7,4,5,86,2007-10-02
Need for Speed: ProStreet,7,1,4,72,2007-11-13
NBA 2K17,4,5,31,88,2016-09-16
Dance Central 2,12,4,19,86,2011-10-25
Madden NFL 25,4,1,4,75,2013-08-27
Rayman Raving Rabbids: TV Party,8,8,8,71,2008-11-18
The Sims 3,6,1,4,81,2010-10-26
NBA 2K18,4,5,31,77,2017-09-19
Rocket League,4,2,56,87,2016-07-05
Just Dance 3,8,4,8,55,2011-10-07
Need for Speed: The Run,7,1,4,63,2011-11-15
TouchMaster,14,10,39,69,2007-06-25
Dead Space,2,1,4,89,2008-10-13
Tenchu: Stealth Assassins,1,9,2,88,1998-08-31
Harry Potter and the Chamber of Secrets,11,12,4,72,2002-11-14
Mortal Kombat vs DC Universe,9,4,39,76,2008-11-16
Just Cause 3,3,2,17,75,2015-12-01
Hot Shots Golf: Open Tee,4,7,9,84,2005-05-03
Tom Clancy's Rainbow Six: Vegas,2,4,8,88,2006-11-20
Grand Theft Auto: San Andreas,1,14,1,92,2005-06-07
Burnout Paradise,7,1,4,90,2008-01-22
Call of Duty: World at War,2,8,2,81,2008-11-10
FIFA Soccer 09,4,4,4,87,2008-10-14
X-Men Legends,5,3,2,86,2004-09-21
The Legend of Zelda: Oracle of Ages,11,22,57,94,2001-05-13
Guitar Hero: World Tour,8,1,2,85,2008-10-26
Red Faction,2,3,32,91,2001-05-21
Madden NFL 18,4,5,3,88,2017-08-25
Need for Speed: Shift,7,4,4,82,2009-09-15
Star Wars Rogue Leader: Rogue Squadron II,6,23,13,92,2001-11-09
Tomb Raider (2013),1,4,17,85,2013-03-05
Madden NFL 09,4,1,3,86,2008-08-12
Minecraft,15,24,58,92,2018-06-21
Mortal Kombat: Deception,9,3,39,74,2004-10-04
FIFA 2000,4,9,3,88,1999-10-09
inFAMOUS 2,1,1,9,81,2011-06-07
SingStar,8,3,9,80,2004-05-21
The Legend of Dragoon,5,9,9,78,2000-06-11
Sonic Classic Collection,10,10,21,75,2010-03-02
The Legend of Zelda: Oracle of Seasons,11,22,57,93,2001-05-13
The Evil Within,1,2,7,77,2014-10-14
Shrek 2,10,3,2,69,2004-04-28
Star Wars: The Force Unleashed,1,8,13,68,2008-09-16
Forza Horizon 4,7,5,6,92,2018-10-02
Rayman Raving Rabbids 2,8,8,8,66,2007-11-15
The Elder Scrolls V: Skyrim Special Edition,5,5,7,81,2016-10-28
BioShock Infinite,2,1,34,95,2013-03-26
The Orange Box,2,4,4,97,2007-10-10
Crazy Taxi,7,18,21,93,2000-01-24
LEGO Star Wars III: The Clone Wars,1,8,13,75,2011-03-22
Far Cry 5,1,5,8,72,2018-03-27
State of Emergency,1,3,1,80,2002-02-12
UFC 2009 Undisputed,9,1,32,84,2009-05-19
The SpongeBob SquarePants Movie,10,3,32,66,2004-10-27
High School Musical: Sing It!,8,8,36,64,2007-10-30
Just Cause 2,1,1,17,83,2010-03-23
FIFA Soccer 08,4,1,3,85,2007-10-09
