title,genre_id,platform_id,publisher_id,metacritic_score,release_date
Sonic Generations,10,4,21,77,2011-11-01
Bakugan: Battle Brawlers,1,10,2,64,2009-10-20
Rocket League,4,5,56,80,2016-07-05
The Sims 2,6,7,4,62,2005-12-07
Deus Ex: Human Revolution,2,4,17,88,2011-08-23
Far Cry 2,2,1,8,84,2008-10-21
Deus Ex: Human Revolution,2,1,17,88,2011-08-23
Dead Rising 2,1,1,22,81,2010-09-28
LEGO Harry Potter: Years 1-4,11,1,15,79,2010-06-29
Call of Duty: Black Ops,2,8,2,75,2010-11-09
Crysis 2,2,4,4,87,2011-03-22
Need for Speed: The Run,7,4,4,55,2011-11-15
A Collection of Activision Classic Games for the Atari 2600,8,9,2,38,1998-09-23
Metroid: Other M,1,8,57,77,2010-08-31
Crash Bandicoot 2: N-Tranced,10,12,47,75,2003-01-07
GoldenEye 007,2,8,2,80,2010-11-02
Marvel vs. Capcom 3: Fate of Two Worlds,9,1,22,82,2011-02-15
Wolfenstein II: The New Colossus,2,2,7,90,2017-10-27
Hasbro Family Game Night 2,8,8,4,64,2009-10-27
Gardening Mama,14,10,14,66,2009-03-31
FIFA Soccer 08,4,7,3,79,2007-10-08
FIFA Soccer 09,4,7,3,81,2008-10-14
Burnout Paradise,7,4,4,89,2008-01-22
Battlefield: Bad Company,2,1,4,86,2008-06-23
F1 2010,7,1,73,84,2010-09-21
Max Payne 2: The Fall of Max Payne,2,3,1,68,2003-12-02
Donkey Kong Jungle Beat,10,23,57,79,2005-03-14
The ICO & Shadow of the Colossus Collection,11,1,9,90,2011-09-27
Need for Speed Carbon,7,3,4,77,2006-10-31
Command & Conquer: Red Alert 2,13,6,4,89,2000-10-21
Tom Clancy's Rainbow Six: Vegas 2,2,1,8,82,2008-03-19
Devil May Cry 4,1,4,22,85,2008-02-05
WWE SmackDown vs Raw 2008,9,1,32,73,2007-11-13
Alan Wake,1,4,5,83,2010-05-18
Crysis 2,2,1,4,88,2011-03-22
Grand Theft Auto: Chinatown Wars,11,10,1,95,2009-03-17
Spider-Man: The Movie,10,12,2,79,2002-04-16
Tony Hawk's Pro Skater,4,26,2,71,2000-02-29
Fallout 76,5,2,7,51,2018-11-14
Rage,2,1,7,79,2011-10-04
MAG: Massive Action Game,2,1,9,74,2010-01-26
UFC Undisputed 2010,9,4,32,86,2010-05-25
Need for Speed Underground Rivals,7,7,4,76,2005-03-14
Madagascar,10,3,2,64,2005-05-23
The Beatles: Rock Band,8,4,42,89,2009-09-09
[Prototype],1,4,2,79,2009-06-09
LEGO Batman: The Videogame,11,1,15,72,2008-09-23
Burnout 3: Takedown,7,14,4,93,2004-09-07
LEGO Batman: The Videogame,11,7,15,79,2008-09-23
NBA Live 07,4,3,3,63,2006-09-25
Transformers,2,3,23,78,2004-05-11
The Last Guardian,3,2,50,79,2016-12-06
Champions of Norrath,5,3,79,85,2004-02-10
Manhunt,1,3,1,80,2003-11-18
Twisted Metal 4,7,9,45,67,1999-10-31
Need for Speed Carbon,7,8,4,64,2006-11-19
.hack//Infection Part 1,5,3,72,77,2003-02-11
LEGO Batman: The Videogame,11,3,15,76,2008-09-23
NBA 2K9,4,4,31,83,2008-10-07
EA Sports Active 2,4,8,4,80,2010-11-16
WWE '12,9,4,32,75,2011-11-22
Castlevania: Symphony of the Night,10,9,27,93,1997-10-02
The Sims 2: Nightlife,6,6,4,75,2005-09-13
SOCOM: U.S. Navy SEALs Confrontation,2,1,9,63,2008-10-14
Rockstar Games presents Table Tennis,4,8,1,68,2007-10-15
Assassin's Creed: Bloodlines,1,7,8,63,2009-11-17
Football Manager 2011,4,6,21,89,2010-11-09
Tomb Raider: Underworld,11,1,18,78,2008-11-18
RollerCoaster Tycoon 2,13,6,23,73,2002-10-15
Cars 2,7,10,36,65,2011-06-21
Black,2,3,4,77,2006-02-28
Need for Speed: Most Wanted,7,4,4,84,2005-11-16
Ratatouille,10,10,32,70,2007-06-26
Need for Speed Carbon,7,1,4,78,2006-11-17
Oddworld: Abe's Oddysee,10,9,10,83,1997-08-31
[Prototype],1,1,2,81,2009-06-09
2010 FIFA World Cup South Africa,4,1,3,82,2010-04-27
Frogger: The Great Quest,10,3,27,30,2001-11-18
Donkey Kong Country 2,10,12,57,76,2004-11-15
Star Wars Battlefront II,2,7,13,69,2005-11-01
NBA Live 99,4,9,3,83,1998-10-31
Intelligent Qube,14,9,9,74,1997-09-30
Max Payne,2,14,1,86,2001-12-12
Cars,7,7,32,74,2006-06-06
FIFA 07 Soccer,4,7,3,80,2006-10-17
Bayonetta,1,1,21,86,2010-01-05
FIFA Soccer 11,4,7,3,70,2010-09-28
NFL 2K,4,18,21,97,1999-09-09
F1 2011,7,1,73,84,2011-09-20
ATV Offroad Fury 3,7,3,9,75,2004-11-02
Metal Gear Solid V: Ground Zeroes,3,2,37,76,2014-03-18
WWE 2K14,9,1,31,76,2013-10-29
Shadow of the Colossus,3,2,50,93,2018-02-06
World Soccer Winning Eleven 9 (JP & Others sales),4,7,27,80,2006-02-07
Mario & Sonic at the London 2012 Olympic Games,4,25,21,65,2012-02-14
WWE SmackDown vs Raw 2008,9,7,32,73,2007-11-13
Spider-Man: The Movie,1,23,2,76,2002-04-15
Metal Gear Solid: Portable Ops,1,7,27,87,2006-12-05
LEGO Star Wars III: The Clone Wars,1,1,13,80,2011-03-22
WWE '12,9,1,32,90,2011-11-22
Metal Gear Solid VR Missions,11,9,27,68,1999-09-24
Tony Hawk's Pro Skater 2,4,12,2,89,2001-05-30
Red Dead Redemption: Undead Nightmare,1,1,1,100,2010-11-23
LEGO Indiana Jones: The Original Adventures,11,7,13,76,2008-06-03
WWE SmackDown vs. Raw 2010,9,1,32,81,2009-10-20
Ty the Tasmanian Tiger,10,3,4,62,2002-09-10
Mission: Impossible,1,19,88,66,1998-07-18
Army of Two,2,1,4,74,2008-03-07
Medal of Honor Heroes 2,2,7,4,66,2007-11-13
Sniper: Ghost Warrior,2,4,89,43,2010-06-29
FIFA Soccer 10,4,7,3,79,2009-10-20
Spore,13,6,4,70,2008-09-07
Bushido Blade,9,9,9,82,1997-09-30
EA Sports Active: More Workouts,4,8,3,79,2009-11-17
Mirror's Edge,10,4,4,76,2008-11-11
Sunset Overdrive,1,5,6,80,2014-10-28
LEGO Star Wars: The Video Game,1,14,18,80,2005-04-05
The Elder Scrolls V: Skyrim,5,24,7,86,2017-11-17
Dragon Quest VIII: Journey of the Cursed King,5,25,57,88,2017-01-20
Call of Duty 4: Modern Warfare,2,6,2,93,2007-11-05
Hot Shots Golf: Out of Bounds,4,1,9,83,2008-03-18
The Lord of the Rings: The Return of the King,1,14,4,88,2003-11-05
South Park,2,19,35,60,1998-12-12
Brave Fencer Musashi,5,9,92,84,1998-10-31
Shadow of the Colossus,11,3,9,91,2005-10-18
Action Bass,1,9,26,51,2000-07-14
LEGO Star Wars III: The Clone Wars,1,25,13,67,2011-03-27
Mortal Kombat,9,4,15,83,2011-04-19
LEGO Star Wars: The Video Game,1,12,18,74,2005-03-29
007: Quantum of Solace,2,1,2,66,2008-11-04
NCAA Football 14,4,4,3,76,2013-07-09
Rocksmith,8,1,8,80,2011-10-18
Rabbids Go Home,11,8,8,80,2009-11-03
Fight Night Champion,9,1,3,84,2011-03-01
Guitar Hero 5,8,4,2,90,2009-09-01
Rocksmith,8,4,8,80,2011-10-18
ModNation Racers,7,1,9,81,2010-05-25
Plants vs Zombies: Garden Warfare,2,4,4,80,2014-02-25
Cars,7,12,32,45,2006-06-06
Mirror's Edge,10,1,4,77,2008-11-11
Spider-Man 2,1,14,2,77,2004-06-28
Crackdown 2,2,4,5,75,2010-07-06
WWE 2K14,9,4,31,76,2013-10-29
Need for Speed: Most Wanted (2012),7,17,4,74,2012-10-30
Dragon Age II,5,4,4,80,2011-03-08
The Beatles: Rock Band,8,1,42,87,2009-09-09
SOCOM: U.S. Navy SEALs Fireteam Bravo,2,7,9,79,2005-11-08
Mafia III,3,5,34,68,2016-10-07
NCAA Football 13,4,4,3,75,2012-07-10
Crash Bandicoot N. Sane Trilogy,10,24,2,60,2018-06-29
Castlevania: Lords of Shadow,1,1,27,81,2010-10-05
Tom Clancy's Splinter Cell: Chaos Theory,1,14,8,94,2005-03-28
Red Dead Redemption: Undead Nightmare,1,4,1,100,2010-11-23
Plants vs. Zombies,13,10,93,81,2011-01-18
Rock Band,8,3,42,81,2007-12-18
FIFA 18,4,24,3,58,2017-09-29
LEGO Star Wars III: The Clone Wars,1,10,13,63,2011-03-22
Guitar Hero 5,8,1,2,88,2009-09-01
GRID,7,1,73,86,2008-06-03
Sonic Free Riders,7,4,21,49,2010-11-04
Bully: Scholarship Edition,1,4,1,81,2008-03-05
DJ Hero,8,4,2,84,2009-10-27
Namco Museum Battle Collection,8,7,12,79,2005-08-23
Lightning Returns: Final Fantasy XIII,8,1,17,71,2014-02-11
Toy Story 3: The Video Game,1,1,36,75,2010-06-15
Skate 2,4,4,4,82,2009-01-21
NFL 2K1,4,18,21,96,2000-09-07
Dragon Ball Z: The Legacy of Goku II,5,12,23,76,2003-06-17
Untold Legends: Brotherhood of the Blade,5,7,79,65,2005-03-22
Star Wars: The Force Unleashed,1,7,13,71,2008-09-16
The Simpsons Game,10,7,4,60,2007-11-05
Dante's Inferno,1,1,4,73,2010-02-09
Disney's Lilo & Stitch,1,12,36,80,2002-06-07
Ready 2 Rumble Boxing,4,9,39,76,1999-10-31
FIFA Soccer 11,4,8,3,70,2010-09-28
Star Fox: Assault,2,23,57,66,2005-02-14
Virtua Fighter 5,9,1,21,87,2007-02-20
Pro Evolution Soccer 2014,4,1,37,83,2013-09-24
Grand Theft Auto: Chinatown Wars,11,7,1,92,2009-10-20
Dragon Ball Z: Taiketsu,9,12,23,38,2003-11-24
Spore Creatures,6,10,4,72,2008-09-07
Tomb Raider: Underworld,11,4,18,75,2008-11-18
Call of Duty 3,2,3,2,82,2006-11-07
World Tour Soccer,4,7,9,70,2005-03-14
Naruto: Ultimate Ninja Storm,9,1,54,78,2008-11-04
Virtua Fighter,9,20,21,90,1995-05-11
Marvel vs. Capcom 3: Fate of Two Worlds,9,4,22,84,2011-02-15
The Biggest Loser,4,8,32,77,2009-10-06
Tiger Woods PGA Tour 10,4,8,3,90,2009-06-08
The Orange Box,2,1,4,87,2007-12-11
LEGO Star Wars II: The Original Trilogy,1,10,13,49,2006-09-12
Prince of Persia,11,1,8,83,2008-12-02
Endless Ocean,11,8,57,68,2008-01-21
Mercenaries 2: World in Flames,2,4,4,71,2008-08-31
Warhawk,2,1,9,84,2007-08-28
Sonic Generations,10,25,21,63,2011-11-22
Mortal Kombat: Armageddon,9,3,39,74,2006-10-09
Aliens vs Predator,2,4,21,60,2010-02-16
Spider-Man 2,10,12,2,70,2004-06-29
Sega Superstars Tennis,4,8,21,70,2008-03-18
Seek and Destroy,7,3,82,56,2002-12-11
Darksiders,1,4,32,78,2010-01-05
DiRT 3,7,1,73,90,2011-05-24
Forza Motorsport,7,14,5,92,2005-05-03
Rocksmith 2014,12,1,8,91,2013-10-22
DiRT,7,1,73,83,2007-09-11
Dave Mirra Freestyle BMX,4,9,35,74,2000-09-26
Sonic & SEGA All-Stars Racing,7,10,21,83,2010-02-23
MySims Agents,11,8,4,75,2009-09-29
Resident Evil: The Darkside Chronicles,2,8,22,72,2009-11-17
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,2,7,9,82,2006-11-07
Call of Duty 4: Modern Warfare,2,10,2,73,2007-11-05
Brink,2,4,7,68,2011-05-10
Aliens vs Predator,2,1,21,61,2010-02-16
Sleeping Dogs,3,1,17,81,2012-08-14
Legacy of Kain: Soul Reaver,11,9,18,89,1999-08-16
Need for Speed: Most Wanted,7,14,4,85,2005-11-15
WipEout Pure,7,7,9,91,2005-03-16
The Simpsons Game,10,4,4,69,2007-10-30
Bomberman 64,14,19,70,61,1997-12-02
MotorStorm: Arctic Edge,7,7,9,77,2009-09-29
Naruto: Clash of Ninja 2,9,23,63,74,2006-09-26
LEGO Pirates of the Caribbean: The Video Game,1,4,36,72,2011-05-10
WWE SmackDown vs. Raw 2010,9,4,32,82,2009-10-20
Just Dance 2014,12,4,8,76,2013-10-08
Sonic Unleashed,10,1,21,53,2008-12-09
The Elder Scrolls III: Morrowind Game of the Year Edition,5,14,7,83,2003-10-31
Tomb Raider,1,6,18,87,1996-11-14
Dragon Ball Z: Budokai Tenkaichi 3,9,8,23,75,2007-12-03
LEGO Indiana Jones: The Original Adventures,11,1,13,77,2008-06-03
Shrek 2,10,23,2,69,2004-04-28
Bulletstorm,2,4,4,85,2011-02-22
Tiger Woods PGA Tour 08,4,8,4,74,2007-08-28
Madden NFL 07,4,14,3,84,2006-08-22
Rock Band 2,8,8,42,90,2008-12-18
Just Cause 3,3,5,17,70,2015-12-01
Madden NFL 16,4,4,3,80,2015-08-25
F1 2012,7,1,73,79,2012-09-18
Prince of Persia,11,4,8,82,2008-12-02
NBA 2K10,4,4,31,84,2009-10-06
EyePet,6,1,9,69,2010-09-17
Excitebike 64,7,19,57,89,2000-04-30
Far Cry: Primal,3,5,8,78,2016-02-23
Rayman Origins,10,1,8,85,2011-11-15
Breath of Fire III,5,9,22,76,1998-04-30
Tom Clancy's Splinter Cell: Blacklist,3,4,8,84,2013-08-20
NERF N-Strike Elite,2,8,4,75,2009-10-26
NCAA Football 12,4,4,3,78,2011-07-12
Rocksmith 2014,12,4,8,84,2013-10-22
Army of Two: The 40th Day,2,4,4,71,2010-01-12
DiRT 2,7,1,73,88,2009-09-08
Midnight Club: LA Remix,7,7,1,77,2008-10-20
Apollo Justice: Ace Attorney,11,10,22,80,2008-02-19
The Simpsons: Hit & Run,7,23,24,82,2003-09-16
Haze,2,1,8,56,2008-05-20
Oddworld: Abe's Exoddus,10,9,10,86,1998-11-17
Shadow The Hedgehog,10,23,21,49,2005-11-15
Tom Clancy's Splinter Cell: Blacklist,3,1,8,83,2013-08-20
The Witcher 2: Assassins of Kings,5,6,23,88,2011-05-17
Zoo Tycoon DS,13,10,32,46,2005-10-11
Pro Evolution Soccer 2008,4,7,27,78,2008-03-12
Fallout 3,5,6,7,90,2008-10-28
Sniper Elite V2,2,1,56,74,2012-05-02
FIFA Soccer 10,4,8,3,83,2009-10-20
Suikoden III,5,3,27,86,2002-10-24
Grand Theft Auto: San Andreas,1,6,1,94,2005-06-07
Dirge of Cerberus: Final Fantasy VII,2,3,17,58,2006-08-15
Brutal Legend,1,4,4,85,2009-10-13
Band Hero,8,8,2,74,2009-11-03
LEGO Star Wars II: The Original Trilogy,1,23,13,84,2006-09-12
Fire Emblem: The Blazing Blade,13,12,57,88,2003-11-03
Sea of Thieves,3,5,6,69,2018-03-20
LEGO Pirates of the Caribbean: The Video Game,1,1,36,74,2011-05-10
Madden NFL 25,4,2,3,74,2013-11-15
Sonic & SEGA All-Stars Racing,7,1,21,80,2010-02-23
Dark Cloud 2,5,3,9,86,2003-02-17
Guitar Hero: Warriors of Rock,8,8,2,73,2010-09-28
PilotWings Resort,6,25,57,69,2011-03-27
Gangs of London,11,7,9,50,2006-10-03
Driver: San Francisco,7,1,8,82,2011-09-06
Lost Planet 2,2,1,22,66,2010-05-11
LEGO Harry Potter: Years 5-7,1,1,15,90,2011-11-11
White Knight Chronicles: International Edition,5,1,9,63,2010-02-02
Wild ARMs,5,9,9,89,1997-04-30
Sonic Unleashed,10,4,21,56,2008-11-20
SpongeBob SquarePants: Battle for Bikini Bottom,10,23,32,73,2003-10-31
Harvest Moon 3D: A New Beginning,6,25,83,82,2012-11-06
Brothers In Arms: Hell's Highway,2,1,8,60,2008-09-23
Tony Hawk: RIDE,4,8,2,43,2009-11-17
NCAA Football 10,4,4,3,81,2009-07-14
EA Sports Active 2,4,1,4,80,2010-11-16
SaGa Frontier 2,5,9,101,74,2000-01-31
The SpongeBob SquarePants Movie,10,23,32,66,2004-10-27
Prince of Persia: The Sands of Time,11,14,8,90,2003-11-12
Castlevania: Lament of Innocence,1,3,27,81,2003-10-21
Brutal Legend,1,1,4,79,2009-10-13
Skylanders: Spyro's Adventure,1,1,2,80,2011-10-16
NCAA Football 11,4,4,3,85,2010-07-13
NCAA Football 13,4,1,3,71,2012-07-10
Fallout 76,5,5,7,51,2018-11-14
Cars,7,23,32,76,2006-06-06
Monster Hunter: World,1,5,22,94,2018-01-26
Operation Flashpoint: Dragon Rising,2,4,73,74,2009-10-06
Phoenix Wright: Ace Attorney,11,10,22,81,2005-10-12
Kingdom Hearts Re:coded,5,10,17,68,2011-01-11
Bayonetta,1,4,21,89,2010-01-05
Guitar Hero: Metallica,8,8,2,89,2009-03-29
Xenoblade Chronicles,5,8,57,93,2012-04-06
BUZZ! Quiz World,8,1,9,78,2009-11-10
Blue Dragon,5,4,5,77,2007-08-28
Killzone: Mercenary,8,17,11,74,2013-09-10
Starsky & Hutch,7,3,53,60,2003-09-09
Dante's Inferno,1,4,4,70,2010-02-09
Tobal No.1,9,9,9,77,1996-09-30
WWE SmackDown vs. Raw 2009,9,4,32,78,2008-11-09
NCAA Football 14,4,1,3,77,2013-07-09
Crysis 3,2,4,4,76,2013-02-19
SpongeBob SquarePants: The Yellow Avenger,1,7,32,57,2006-03-06
EA Sports Grand Slam Tennis,4,8,3,79,2009-06-08
007: The World is not Enough,2,9,4,64,2000-11-06
Overwatch,2,6,25,95,2016-05-24
Operation Flashpoint: Dragon Rising,2,1,73,73,2009-10-06
LEGO Pirates of the Caribbean: The Video Game,1,10,36,68,2011-05-10
Dynasty Warriors 7,1,1,106,58,2011-03-29
Sonic Riders: Zero Gravity,7,8,21,58,2008-01-08
Colin McRae Rally 2.0,7,9,73,83,2000-12-05
Tom Clancy's EndWar,13,4,8,80,2008-11-04
Assassin's Creed,11,6,8,76,2008-04-08
Crysis 3,2,1,4,82,2013-02-19
SOCOM 4: U.S. Navy SEALs,2,1,9,70,2011-04-19
Marvel: Ultimate Alliance 2,5,4,2,74,2009-09-15
Final Fantasy X / X-2 HD Remaster,5,2,17,93,2015-05-12
Lost Odyssey,5,4,5,75,2008-02-12
X-Men Legends,5,14,2,82,2004-09-21
Homefront,2,1,32,66,2011-03-15
The Biggest Loser: Ultimate Workout,4,4,32,80,2010-11-02
James Cameron's Avatar: The Game,1,1,8,58,2009-12-01
Resistance: Retribution,2,7,9,80,2009-03-17
Burnout Revenge,7,3,4,90,2005-09-13
3Xtreme,1,9,45,29,1999-03-31
Spider-Man 3,10,3,2,44,2007-05-04
Cars 2,7,8,36,80,2011-06-21
Buzz! Master Quiz,8,7,9,70,2008-09-23
DJ Hero,8,1,2,85,2009-10-27
Killzone: Liberation,2,7,9,78,2006-10-31
Resident Evil: Revelations,1,25,22,78,2012-02-07
The Tomb Raider Trilogy,1,1,17,85,2011-03-22
Blitz: The League,4,3,39,78,2005-10-17
Pure,7,1,36,70,2008-09-16
Samba De Amigo,8,8,21,67,2008-09-23
Call of Duty: World at War,2,10,2,74,2008-11-10
Fire Emblem: The Sacred Stones,13,12,57,84,2005-05-23
Dissidia 012: Duodecim Final Fantasy,9,7,17,83,2011-03-22
Madagascar,10,12,2,55,2005-05-23
The Simpsons Game,10,1,4,75,2007-10-30
Ni no Kuni II: Revenant Kingdom,5,2,76,87,2018-03-23
Fossil Fighters,5,10,57,69,2009-08-10
Assassin's Creed III,3,6,8,86,2012-11-20
Buzz! Quiz TV,8,1,9,79,2008-09-23
WWE SmackDown vs. Raw 2011,9,4,32,71,2010-10-26
The Lord of the Rings: War in the North,5,4,15,66,2011-11-01
Rock Band 3,8,4,42,94,2010-10-26
F1 2009,7,8,73,68,2009-11-17
Call of Juarez: Bound in Blood,2,1,8,77,2009-06-30
F1 2010,7,4,73,84,2010-09-21
Call of Duty: Modern Warfare 2,2,6,2,90,2009-11-10
Sonic Chronicles: The Dark Brotherhood,5,10,21,73,2008-09-30
Vagrant Story,5,9,101,93,2000-05-15
Kingdom Hearts Re: Chain of Memories,5,3,17,72,2008-12-02
Ghostbusters: The Video Game,1,8,23,76,2009-06-16
Mario Party: Star Rush,16,25,57,62,2016-11-04
Grand Theft Auto IV,1,6,1,92,2008-12-02
Mercenaries 2: World in Flames,2,1,4,60,2008-08-31
Red Faction: Guerrilla,2,4,32,84,2009-06-02
DiRT,7,4,73,84,2007-06-19
Endless Ocean: Blue World,6,8,57,76,2010-02-22
Michael Jackson: The Experience,8,4,8,56,2011-04-12
Brothers In Arms: Hell's Highway,2,4,8,76,2008-09-23
GRID,7,4,73,87,2008-06-03
Metal Gear Ac!d,13,7,27,74,2005-03-22
Tony Hawk's Project 8,4,3,2,66,2006-11-07
Sleeping Dogs,3,4,17,79,2012-08-14
Paper Mario: Color Splash,3,27,57,74,2016-10-07
Super Bomberman R,14,24,37,63,2017-03-03
Wii Fit U,8,27,57,72,2014-01-10
Guitar Hero: Warriors of Rock,8,4,2,71,2010-09-28
Lemmings,14,7,9,73,2006-05-23
Winning Eleven: Pro Evolution Soccer 2007,4,7,27,82,2007-02-06
Darksiders II,3,1,32,83,2012-08-14
Ratatouille,10,3,32,60,2007-06-26
Dragon Ball Z: Burst Limit,9,1,23,73,2008-06-10
NCAA Football 11,4,1,3,85,2010-07-13
Street Fighter Alpha 2,9,9,22,82,1996-09-30
Burnout Legends,7,7,4,84,2005-09-13
Tomb Raider: Anniversary,1,8,18,68,2007-11-13
2010 FIFA World Cup South Africa,4,4,3,84,2010-04-27
Ninja Gaiden Sigma 2,1,1,106,85,2009-09-29
The Legendary Starfy,10,10,57,71,2009-06-08
The House of the Dead: Overkill,2,8,21,79,2009-02-10
Army of Two: The 40th Day,2,1,4,71,2010-01-12
Metroid: Zero Mission,11,12,57,89,2004-02-09
Ghostbusters: The Video Game,1,1,23,78,2009-06-16
Blazing Angels: Squadrons of WWII,6,8,8,47,2007-03-20
NBA 2K10,4,1,31,82,2009-10-06
ZombiU,1,27,8,69,2012-11-18
Xenoblade Chronicles X,5,27,57,81,2015-12-04
Rogue Galaxy,5,3,9,83,2007-01-30
Skate 2,4,1,4,82,2009-01-21
Spider-Man 2,1,23,2,77,2004-06-28
The Incredibles,1,23,32,62,2004-10-31
MLB 13: The Show,4,1,11,85,2013-03-05
Sniper Elite V2,2,4,56,70,2012-05-01
Madden NFL 25,4,5,3,71,2013-11-22
Need for Speed: Nitro,7,8,4,70,2009-11-02
Call of Duty: Modern Warfare 3,2,8,2,45,2011-11-08
Sid Meier's Civilization Revolution,13,4,34,84,2008-07-08
Dragon Age II,5,1,4,77,2011-03-08
Casper,11,9,112,49,1996-09-17
Madden NFL 07,4,7,3,83,2006-08-22
Twisted Metal (2012),1,1,9,79,2012-02-14
Tiger Woods PGA Tour 11,4,1,3,79,2010-06-08
Dragon Ball: Raging Blast 2,9,1,54,60,2010-11-02
NCAA Football 12,4,1,3,77,2011-07-12
Duke Nukem Forever,2,4,34,43,2011-06-14
Sniper: Ghost Warrior,2,1,89,45,2011-06-28
Time Crisis 4,2,1,54,61,2007-11-20
WWE SmackDown vs. Raw 2009,9,8,32,82,2008-11-09
Yu-Gi-Oh! Dark Duel Stories,8,26,27,62,2002-03-18
DJ Hero 2,8,4,2,85,2010-10-19
Stranglehold,2,4,39,80,2007-09-05
Tony Hawk's Underground 2 Remix,4,7,2,85,2005-03-15
Tony Hawk's Pro Skater 3,4,23,2,91,2001-11-13
Need for Speed: Hot Pursuit 2,7,14,4,82,2002-10-01
MediEvil: Resurrection,11,7,9,65,2005-09-13
The Crew 2,7,2,8,65,2018-06-29
The Lord of the Rings: War in the North,5,1,15,65,2011-11-01
Marvel: Ultimate Alliance,5,3,2,81,2006-10-24
Patapon,10,7,9,87,2008-02-26
The Walking Dead: A Telltale Games Series,11,1,115,97,2012-11-20
Professor Layton vs Ace Attorney,11,25,57,81,2014-08-29
Tales of Destiny II,5,9,12,75,2001-09-10
Pro Evolution Soccer 2010,4,4,27,70,2009-11-03
NCAA Football 10,4,1,3,81,2009-07-14
Ready 2 Rumble Boxing: Round 2,9,3,39,79,2000-10-23
The Legend of Zelda: Four Swords Adventures,11,23,57,84,2004-06-07
Army Men: Sarge's Heroes,2,19,80,42,1999-09-30
Madden NFL 16,4,1,3,80,2015-08-25
Golden Sun: Dark Dawn,5,10,57,80,2010-11-29
Professor Layton and the Azran Legacy,14,25,57,80,2014-02-28
Shaun White Snowboarding,4,4,8,62,2008-11-16
The Amazing Spider-Man (2012),3,1,2,73,2012-06-26
Guitar Hero: Metallica,8,4,2,85,2009-03-29
Star Wars The Clone Wars: Republic Heroes,1,8,13,48,2009-10-06
Final Fantasy Anthology,5,9,101,86,1999-09-30
Mario & Sonic at the Sochi 2014 Olympic Winter Games,4,27,57,59,2013-11-15
Need for Speed: Hot Pursuit 2,7,23,4,75,2002-10-01
DiRT 2,7,4,73,88,2009-09-08
Star Wars Rogue Squadron III: Rebel Strike,6,23,13,83,2003-10-15
The Sims 2: Pets,6,7,4,58,2006-12-14
PES 2009: Pro Evolution Soccer,4,7,27,73,2008-11-11
Darksiders II,3,4,32,86,2012-08-14
Ridge Racer,7,9,12,90,1995-09-09
Invizimals,13,7,9,66,2010-10-12
Harvest Moon: A Wonderful Life,5,23,83,82,2004-03-16
Dead Island: Riptide,8,4,44,56,2013-04-23
The Godfather II,11,4,4,62,2009-04-07
Band Hero,8,4,2,76,2009-11-03
James Bond 007: Nightfire,2,23,4,81,2002-11-18
Goldeneye 007: Reloaded,2,1,2,74,2011-11-01
MadWorld,1,8,21,81,2009-03-10
F1 2016,7,2,73,80,2017-01-01
Need for Speed: ProStreet,7,7,4,56,2008-02-18
Fight Night Champion,9,4,3,84,2011-03-01
Naruto Shippuden: Ultimate Ninja Storm 2,9,4,54,76,2010-10-19
Tiger Woods PGA Tour 10,4,1,3,84,2009-06-08
NBA 2K7,4,3,31,82,2006-09-25
DJ Hero 2,8,1,2,84,2010-10-19
DJ Hero,8,8,2,86,2009-10-27
Too Human,5,4,5,65,2008-08-19
Rayman Origins,10,4,8,90,2011-11-15
Sid Meier's Civilization Revolution,13,1,34,84,2008-07-08
Star Wars: The Force Unleashed II,1,8,13,75,2010-10-26
Tom Clancy's Splinter Cell: Double Agent,1,4,8,85,2006-10-17
Battlefield 1,2,6,4,91,2016-10-21
Ghost Squad,2,8,21,70,2007-11-20
Star Wars Battlefront: Elite Squadron,2,7,13,60,2009-11-03
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,7,4,21,77,2010-02-23
UFC Personal Trainer: The Ultimate Fitness System,4,4,32,60,2011-06-28
Dragon Ball: Raging Blast,9,1,54,56,2009-11-10
Pokémon Dash,7,10,57,53,2005-03-14
Conker's Bad Fur Day,10,19,119,92,2001-03-04
Maximo: Ghosts to Glory,10,3,22,87,2002-02-11
Donkey Kong Country 3,10,12,57,75,2005-11-07
James Cameron's Avatar: The Game,1,4,8,60,2009-12-01
Lips,8,4,5,71,2008-11-18
Twisted Metal: Head On,1,7,9,75,2005-03-24
Andretti Racing,7,9,3,73,1996-11-30
Need for Speed: Undercover,7,7,4,54,2008-11-17
The Sims 3,6,25,4,56,2011-03-27
Lost Planet 2,2,4,22,65,2010-05-11
Just Dance 2018,12,24,8,80,2017-10-24
Kane & Lynch: Dead Men,2,4,18,68,2007-11-13
Mortal Kombat: Deception,9,14,39,74,2004-10-04
Marvel vs. Capcom 2,9,3,22,82,2002-11-19
Sonic Unleashed,10,3,21,70,2008-11-18
Banjo-Kazooie: Nuts & Bolts,10,4,5,80,2008-11-12
Tony Hawk's Pro Skater 2,4,19,2,85,2001-08-21
Band Hero,8,1,2,76,2009-11-03
Resident Evil: Revelations,1,1,22,76,2013-05-21
Final Fantasy Legend III,5,26,92,70,1993-09-29
Harry Potter and the Half-Blood Prince,1,8,4,60,2009-06-30
Toy Story 3: The Video Game,1,4,36,75,2010-06-15
