title,platform,total_sales,na_sales,jp_sales,pal_sales,other_sales
The Crew 2,PS4,0.82,0.22,0.05,0.42,0.12
The Lord of the Rings: War in the North,PS3,0.82,0.25,0.01,0.43,0.12
Marvel: Ultimate Alliance,PS2,0.82,0.69,,0.03,0.11
Patapon,PSP,0.82,0.33,0.07,0.25,0.17
The Walking Dead: A Telltale Games Series,PS3,0.82,0.4,0.03,0.25,0.14
Professor Layton vs Ace Attorney,3DS,0.82,0.2,0.3,0.27,0.04
Tales of Destiny II,PS,0.81,0.06,0.66,0.04,0.05
Pro Evolution Soccer 2010,X360,0.81,0.12,0.03,0.58,0.08
NCAA Football 10,PS3,0.81,0.75,,,0.06
Ready 2 Rumble Boxing: Round 2,PS2,0.81,0.4,,0.31,0.1
The Legend of Zelda: Four Swords Adventures,GC,0.81,0.63,,0.16,0.02
Army Men: Sarge's Heroes,N64,0.81,0.68,,0.12,0.01
Madden NFL 16,PS3,0.81,0.6,,0.07,0.15
Golden Sun: Dark Dawn,DS,0.81,0.53,0.13,0.1,0.05
Professor Layton and the Azran Legacy,3DS,0.81,,0.25,0.53,0.03
Shaun White Snowboarding,X360,0.81,0.48,0.0,0.25,0.08
The Amazing Spider-Man (2012),PS3,0.8,0.31,,0.36,0.12
Guitar Hero: Metallica,X360,0.8,0.52,,0.2,0.07
Star Wars The Clone Wars: Republic Heroes,Wii,0.8,0.43,,0.3,0.07
Final Fantasy Anthology,PS,0.8,0.45,,0.3,0.05
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,0.8,0.37,0.14,0.23,0.06
Need for Speed: Hot Pursuit 2,GC,0.8,0.68,,0.09,0.02
DiRT 2,X360,0.8,0.32,0.0,0.39,0.09
Star Wars Rogue Squadron III: Rebel Strike,GC,0.8,0.62,,0.16,0.02
The Sims 2: Pets,PSP,0.8,0.19,,0.39,0.22
PES 2009: Pro Evolution Soccer,PSP,0.8,0.04,0.26,0.33,0.17
Darksiders II,X360,0.79,0.45,0.0,0.27,0.07
Ridge Racer,PS,0.79,,0.74,,0.05
Invizimals,PSP,0.79,0.17,,0.51,0.11
Harvest Moon: A Wonderful Life,GC,0.79,0.61,,0.16,0.02
Dead Island: Riptide,X360,0.79,0.44,0.01,0.27,0.07
The Godfather II,X360,0.79,0.47,0.01,0.23,0.08
Band Hero,X360,0.79,0.51,,0.21,0.07
James Bond 007: Nightfire,GC,0.78,0.6,,0.16,0.02
Goldeneye 007: Reloaded,PS3,0.78,0.33,,0.33,0.12
MadWorld,Wii,0.78,0.45,0.02,0.24,0.07
F1 2016,PS4,0.78,0.07,0.03,0.56,0.11
Need for Speed: ProStreet,PSP,0.78,0.24,0.01,0.33,0.19
Fight Night Champion,X360,0.78,0.4,,0.31,0.07
Naruto Shippuden: Ultimate Ninja Storm 2,X360,0.78,0.43,0.01,0.27,0.07
Tiger Woods PGA Tour 10,PS3,0.78,0.42,,0.25,0.11
NBA 2K7,PS2,0.78,0.65,,0.02,0.11
DJ Hero 2,PS3,0.78,0.49,,0.19,0.1
DJ Hero,Wii,0.78,0.47,,0.23,0.08
Too Human,X360,0.78,0.38,0.03,0.3,0.08
Rayman Origins,X360,0.78,0.38,,0.32,0.08
Sid Meier's Civilization Revolution,PS3,0.78,0.49,0.01,0.19,0.09
Star Wars: The Force Unleashed II,Wii,0.78,0.53,,0.19,0.06
Tom Clancy's Splinter Cell: Double Agent,X360,0.78,0.67,0.01,0.04,0.06
Battlefield 1,PC,0.77,0.3,,0.41,0.06
Ghost Squad,Wii,0.77,0.42,0.08,0.21,0.07
Star Wars Battlefront: Elite Squadron,PSP,0.77,0.38,,0.24,0.16
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,0.77,0.37,,0.32,0.07
UFC Personal Trainer: The Ultimate Fitness System,X360,0.77,0.53,,0.18,0.06
Dragon Ball: Raging Blast,PS3,0.77,0.37,0.11,0.19,0.1
Pokémon Dash,DS,0.77,0.21,0.38,0.14,0.04
Conker's Bad Fur Day,N64,0.77,0.53,,0.22,0.02
Maximo: Ghosts to Glory,PS2,0.77,0.38,,0.29,0.1
Donkey Kong Country 3,GBA,0.77,0.45,0.14,0.17,0.01
James Cameron's Avatar: The Game,X360,0.77,0.34,,0.35,0.08
Lips,X360,0.77,0.12,,0.56,0.1
Twisted Metal: Head On,PSP,0.77,0.71,,0.0,0.06
Andretti Racing,PS,0.77,0.43,,0.29,0.05
Need for Speed: Undercover,PSP,0.77,0.23,0.03,0.32,0.19
The Sims 3,3DS,0.77,0.3,0.03,0.38,0.07
Lost Planet 2,X360,0.76,0.38,0.08,0.24,0.06
Just Dance 2018,NS,0.76,0.3,,0.4,0.06
Kane & Lynch: Dead Men,X360,0.76,0.36,0.01,0.31,0.08
Mortal Kombat: Deception,XB,0.76,0.61,,0.12,0.03
Marvel vs. Capcom 2,PS2,0.76,0.31,0.13,0.24,0.08
Sonic Unleashed,PS2,0.76,0.37,,0.04,0.36
Banjo-Kazooie: Nuts & Bolts,X360,0.76,0.32,0.0,0.35,0.08
Tony Hawk's Pro Skater 2,N64,0.76,0.59,,0.16,0.01
Band Hero,PS3,0.76,0.41,,0.23,0.12
Resident Evil: Revelations,PS3,0.76,0.14,0.22,0.32,0.09
Final Fantasy Legend III,GB,0.76,,0.76,,
Harry Potter and the Half-Blood Prince,Wii,0.76,0.28,,0.4,0.08
Toy Story 3: The Video Game,X360,0.76,0.41,,0.27,0.07
Duke Nukem Forever,PS3,0.76,0.33,,0.31,0.11
PokéPark 2: Wonders Beyond,Wii,0.76,0.26,0.27,0.19,0.04
Rockstar Games presents Table Tennis,X360,0.75,0.28,,0.38,0.08
LEGO City Undercover,PS4,0.75,0.17,0.01,0.46,0.12
Wall-E,PS2,0.75,0.21,,0.0,0.54
Spectrobes,DS,0.75,0.66,,0.03,0.06
Zone of the Enders,PS2,0.75,0.3,0.13,0.24,0.08
FIFA 19,NS,0.75,0.18,0.06,0.47,0.05
Madden NFL 06,PSP,0.75,0.69,,0.0,0.06
Tom Clancy's Rainbow Six: Vegas,PSP,0.75,0.42,,0.2,0.13
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,0.75,0.22,0.3,0.17,0.06
Turok,X360,0.75,0.46,0.01,0.2,0.07
Disney Infinity 2.0: Marvel Super Heroes,PS4,0.75,0.37,,0.25,0.13
Kane & Lynch: Dead Men,PS3,0.75,0.29,0.01,0.32,0.13
Coded Arms,PSP,0.75,0.28,,0.29,0.17
Drawn to Life: The Next Chapter,Wii,0.75,0.28,,0.39,0.08
WWE SmackDown vs. Raw 2009,PSP,0.75,0.41,,0.2,0.14
The Lord of the Rings: Conquest,PS3,0.75,0.38,,0.26,0.11
Genji: Days of the Blade,PS3,0.75,0.18,0.06,0.38,0.14
The Amazing Spider-Man (2012),X360,0.74,0.43,,0.24,0.07
Ace Combat: Assault Horizon,PS3,0.74,0.3,0.22,0.16,0.07
X-Men Origins: Wolverine - Uncaged Edition,PS3,0.74,0.31,,0.31,0.12
Sega Superstars Tennis,DS,0.74,0.29,,0.37,0.08
Red Faction: Guerrilla,PS3,0.74,0.33,0.02,0.27,0.12
Marvel: Ultimate Alliance 2,PS3,0.74,0.49,,0.16,0.09
Resonance of Fate,PS3,0.74,0.2,0.24,0.22,0.08
Tales of Vesperia,X360,0.74,0.32,0.19,0.18,0.05
Need for Speed (2015),XOne,0.74,0.35,,0.33,0.06
Mortal Kombat: Unchained,PSP,0.74,0.67,,0.01,0.06
The Godfather II,PS3,0.74,0.41,0.01,0.21,0.1
Sonic Forces,NS,0.74,0.39,0.01,0.27,0.06
Need for Speed: Payback,XOne,0.73,0.42,,0.24,0.07
WWE SmackDown vs. Raw 2010,Wii,0.73,0.49,,0.17,0.06
Katamari Damacy,PS2,0.73,0.47,0.17,0.02,0.08
Brink,PS3,0.73,0.29,0.01,0.32,0.12
Final Fantasy XIII-2,X360,0.73,0.36,0.02,0.29,0.06
Star Ocean: The Last Hope International,PS3,0.73,0.28,0.22,0.15,0.07
NCAA Football 07,X360,0.73,0.67,,,0.06
MLB 10: The Show,PS3,0.73,0.67,,,0.06
NHL 11,X360,0.73,0.61,,0.07,0.05
Madden NFL 11,Wii,0.73,0.68,,,0.05
MLB 14 The Show,PS4,0.73,0.59,,,0.14
Crysis 2,PC,0.73,0.16,,0.45,0.12
MLB 09: The Show,PS3,0.72,0.66,,,0.06
Indiana Jones and the Staff of Kings,Wii,0.72,0.36,,0.29,0.07
Monster Hunter Generations Ultimate,NS,0.72,0.27,0.27,0.14,0.04
XCOM: Enemy Unknown,PC,0.72,0.28,,0.37,0.07
Blur,PS3,0.72,0.22,0.02,0.37,0.12
F1 2011,X360,0.72,0.11,0.01,0.5,0.09
Mx vs. ATV Reflex,X360,0.72,0.52,,0.14,0.06
James Bond 007: Agent Under Fire,GC,0.72,0.56,,0.15,0.02
Rabbids Go Home,DS,0.72,0.35,,0.3,0.07
Kirby: Canvas Curse,DS,0.72,0.36,0.32,0.0,0.03
Battlefield: Bad Company 2,PC,0.72,0.19,,0.53,
James Cameron's Avatar: The Game,Wii,0.72,0.32,,0.32,0.07
Tiger Woods PGA Tour 07,PS2,0.72,0.6,,0.02,0.1
Madden NFL 10,Wii,0.72,0.62,,0.04,0.06
Madden NFL 08,PSP,0.71,0.6,,0.04,0.07
Madden NFL 09,PSP,0.71,0.65,,0.0,0.06
Blast Corps,N64,0.71,0.39,0.17,0.09,0.06
Virtua Fighter 4: Evolution,PS2,0.71,0.35,,0.27,0.09
Mortal Kombat (2011),PSV,0.71,0.42,,0.15,0.15
Godzilla: Destroy All Monsters Melee,GC,0.71,0.55,,0.14,0.02
Yu-Gi-Oh! The Falsebound Kingdom,GC,0.71,0.49,0.07,0.13,0.02
The LEGO Movie Videogame,PS4,0.71,0.26,0.01,0.32,0.11
Astro Bot Rescue Mission,PS4,0.71,0.22,0.02,0.36,0.11
Spyro: Enter the Dragonfly,GC,0.71,0.55,,0.14,0.02
Catherine,PS3,0.71,0.3,0.2,0.15,0.06
Conker: Live And Reloaded,XB,0.71,0.49,,0.2,0.02
DiRT 3,X360,0.71,0.23,0.01,0.4,0.07
South Park,PS,0.71,0.39,,0.27,0.05
Doom 3: Resurrection of Evil,XB,0.71,0.53,,0.15,0.03
Plants vs Zombies: Garden Warfare,XOne,0.71,0.39,0.0,0.25,0.06
LEGO Harry Potter: Years 1-4,PSP,0.71,0.14,,0.38,0.19
Monster Hunter 3 Ultimate,WiiU,0.71,0.24,0.22,0.2,0.04
F-14 Tomcat,GBA,0.7,0.5,,0.19,0.01
Mafia,PS2,0.7,0.34,,0.27,0.09
Spider-Man 2,PSP,0.7,0.35,,0.21,0.14
TimeSplitters 2,PS2,0.7,0.34,,0.27,0.09
Driver: San Francisco,X360,0.7,0.25,0.0,0.37,0.07
The Sims: Medieval,PC,0.7,0.29,,0.32,0.09
LEGO Rock Band,Wii,0.7,0.41,,0.22,0.06
Rocksmith 2014,PC,0.7,0.39,,0.24,0.06
Monster Hunter Stories,3DS,0.7,0.14,0.39,0.15,0.03
RIFT,PC,0.7,0.47,,0.16,0.08
Jade Empire,XB,0.7,0.48,,0.19,0.03
Chocobo's Dungeon 2,PS,0.7,0.04,0.58,0.03,0.05
Advance Wars,GBA,0.7,0.5,,0.19,0.01
Tony Hawk's Underground,GC,0.7,0.54,,0.14,0.02
FIFA Soccer 11,DS,0.7,0.13,,0.49,0.08
Ape Escape: On the Loose,PSP,0.7,0.52,0.12,0.01,0.05
Disney's Chicken Little,GBA,0.7,0.5,,0.18,0.01
Ace Attorney Investigations: Miles Edgeworth,DS,0.7,0.23,0.3,0.14,0.04
NHL 12,X360,0.7,0.55,,0.1,0.05
Classic NES Series: Zelda II: The Adventure of Link,GBA,0.7,0.37,0.17,0.14,0.01
Madden NFL 2005,GC,0.7,0.54,,0.14,0.02
James Bond 007: Blood Stone,PS3,0.7,0.18,0.02,0.37,0.12
Transformers: Revenge of the Fallen,PS3,0.7,0.28,,0.3,0.12
Mortal Kombat: Shaolin Monks,PS2,0.69,0.58,,0.02,0.09
MotionSports,X360,0.69,0.38,,0.25,0.07
Rayman Legends,NS,0.69,0.23,,0.4,0.05
Kirby's Dream Collection: Special Edition,Wii,0.69,0.33,0.33,,0.03
The Sly Collection,PS3,0.69,0.52,0.01,0.08,0.08
Mario Party: The Top 100,3DS,0.69,0.23,0.24,0.17,0.04
Dragon Ball Z: Budokai,GC,0.69,0.53,,0.14,0.02
Fortnite,NS,0.69,0.38,0.01,0.24,0.06
Halo 2 Multiplayer Map Pack,XB,0.69,0.54,,0.13,0.02
Metal Gear Solid: Portable Ops Plus,PSP,0.69,0.26,0.26,0.01,0.17
The Lord of the Rings: The Return of the King,GC,0.69,0.53,,0.14,0.02
Top Spin 4,PS3,0.69,0.17,,0.4,0.12
X-Men Origins: Wolverine - Uncaged Edition,X360,0.69,0.42,,0.21,0.06
MX vs. ATV Unleashed: On the Edge,PSP,0.69,0.64,,0.0,0.05
IL-2 Sturmovik: Birds of Prey,PS3,0.69,0.34,,0.25,0.1
The Evil Within,XOne,0.69,0.36,0.0,0.27,0.06
Bushido Blade 2,PS,0.68,0.25,0.22,0.17,0.04
NHL 13,X360,0.68,0.51,,0.11,0.06
Baldur's Gate: Dark Alliance II,PS2,0.68,0.34,,0.26,0.09
F1 2015,PS4,0.68,0.1,0.04,0.45,0.1
.hack//Mutation Part 2,PS2,0.68,0.23,0.2,0.18,0.06
Iron Man,PS3,0.68,0.32,,0.25,0.11
Star Wars: Masters of Teras Kasi,PS,0.68,0.38,,0.26,0.04
Rayman Legends,WiiU,0.68,0.25,0.03,0.35,0.05
Suikoden II,PS,0.68,0.15,0.38,0.1,0.04
Test Drive Unlimited 2,X360,0.68,0.3,0.0,0.32,0.06
Hot Shots Golf: Open Tee 2,PSP,0.68,0.21,0.28,0.11,0.08
Madden NFL 10,PSP,0.67,0.5,,0.08,0.09
Mass Effect,PC,0.67,,,0.59,0.07
Diablo III: Eternal Collection,NS,0.67,0.38,0.01,0.22,0.06
Contra: Legacy of War,PS,0.67,0.37,,0.25,0.04
100 Classic Books,DS,0.67,0.12,,0.52,0.02
Unreal Tournament III,PS3,0.67,0.33,,0.24,0.1
Wild ARMs 2,PS,0.67,0.19,0.31,0.13,0.04
Need for Speed: Shift 2 Unleashed,PS3,0.67,0.2,,0.36,0.12
The Sims 3,DS,0.67,0.38,,0.23,0.06
Blazing Angels: Squadrons of WWII,PS3,0.67,0.35,,0.22,0.1
Call of Duty: Ghosts,PC,0.67,0.26,,0.36,0.05
Disney Infinity,WiiU,0.67,0.37,,0.24,0.06
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,0.67,0.48,,0.18,0.01
Napoleon: Total War,PC,0.67,0.02,,0.54,0.11
Spider-Man 3,PS3,0.67,0.26,0.02,0.29,0.11
Book of Spells,PS3,0.66,0.16,,0.4,0.11
The Sims: Bustin' Out,GC,0.66,0.43,,0.2,0.03
Final Fantasy Crystal Chronicles: Ring of Fates,DS,0.66,0.22,0.42,0.01,0.02
Suikoden IV,PS2,0.66,0.17,0.3,0.13,0.05
Darkstone,PS,0.66,0.37,,0.25,0.04
Legend of Legaia,PS,0.66,0.37,,0.25,0.04
Command & Conquer: Red Alert 3,PC,0.66,0.01,,0.64,0.02
WWE SmackDown vs. RAW 2007,PSP,0.66,0.33,,0.2,0.14
London 2012: The Official Video Game of the Olympic Games,PS3,0.66,0.06,,0.49,0.12
Shaun White Snowboarding,PS3,0.66,0.31,0.01,0.24,0.1
Fist of the North Star: Ken's Rage,PS3,0.66,0.06,0.55,0.03,0.01
Castlevania: Lords of Shadow,X360,0.66,0.42,0.01,0.17,0.05
Ratatouille,PSP,0.66,0.22,,0.28,0.16
Disney's Kim Possible 2: Drakken's Demise,GBA,0.66,0.47,,0.17,0.01
Madagascar,GC,0.66,0.52,,0.13,0.02
2014 FIFA World Cup Brazil,PS3,0.66,0.15,0.01,0.4,0.1
NHL 13,PS3,0.66,0.33,,0.23,0.1
NHL 10,X360,0.66,0.51,,0.1,0.06
MX vs. ATV Untamed,PSP,0.65,0.35,,0.18,0.13
F-Zero GX,GC,0.65,0.41,0.12,0.11,0.02
Wall-E,PSP,0.65,0.29,,0.22,0.14
LEGO City Undercover,NS,0.65,0.23,0.03,0.33,0.05
Transformers: The Game,PSP,0.65,0.23,,0.27,0.16
Centipede,PS,0.65,0.36,,0.25,0.04
Scene It? Box Office Smash,X360,0.65,0.33,,0.25,0.07
Advance Wars 2: Black Hole Rising,GBA,0.65,0.47,,0.17,0.01
007: Quantum of Solace,Wii,0.65,0.29,0.01,0.28,0.07
Far Cry 4,PC,0.65,0.19,,0.41,0.05
Tiger Woods PGA Tour 09,PS3,0.65,0.34,,0.22,0.1
Disney's Chicken Little,PS2,0.65,0.32,,0.25,0.08
Harry Potter and the Goblet of Fire,PS2,0.65,0.54,,0.02,0.09
Drawn to Life: The Next Chapter,DS,0.65,0.44,,0.14,0.06
Dead or Alive 5,PS3,0.65,0.23,0.21,0.15,0.07
Champions: Return to Arms,PS2,0.65,0.32,,0.25,0.08
Star Ocean: First Departure,PSP,0.65,0.2,0.22,0.14,0.09
Tiger Woods PGA Tour 10,X360,0.65,0.39,,0.2,0.06
Sengoku Basara: Samurai Heroes,PS3,0.64,0.17,0.4,0.04,0.02
Real Heroes: Firefighter,Wii,0.64,0.56,,0.04,0.05
Dragon Ball: Raging Blast 2,X360,0.64,0.49,0.01,0.09,0.05
X2: Wolverine's Revenge,PS2,0.64,0.31,,0.24,0.08
New Play Control! Pikmin,Wii,0.64,0.28,0.19,0.13,0.04
Just Dance 2014,WiiU,0.64,0.34,,0.25,0.06
Max Payne 2: The Fall of Max Payne,XB,0.64,0.47,,0.15,0.02
Lost Planet: Extreme Condition,PS3,0.64,0.31,0.07,0.17,0.08
Rayman 3D,3DS,0.64,0.23,,0.36,0.06
Konami Collector's Series: Arcade Advanced,GBA,0.64,0.46,,0.17,0.01
Castlevania,N64,0.64,0.44,0.04,0.1,0.05
Crash Bandicoot Purple: Ripto's Rampage,GBA,0.64,0.46,,0.17,0.01
Rayman 2: The Great Escape,N64,0.64,0.4,,0.22,0.02
Crash of the Titans,PSP,0.64,0.25,,0.25,0.15
Rock Band 3,Wii,0.64,0.53,,0.06,0.05
Dead Island: Riptide,PS3,0.64,0.26,0.07,0.21,0.1
The Lord of the Rings: Conquest,X360,0.63,0.37,,0.2,0.06
LEGO The Incredibles,NS,0.63,0.35,0.01,0.21,0.06
Iron Man,PSP,0.63,0.46,,0.09,0.09
Sim Theme Park,PS,0.63,0.35,,0.24,0.04
Wolfenstein,PS3,0.63,0.25,,0.27,0.11
NieR,PS3,0.63,0.17,0.2,0.19,0.07
Namco Museum,GC,0.63,0.48,,0.13,0.02
Transformers: Revenge of the Fallen,X360,0.63,0.34,,0.23,0.06
Shin Megami Tensei: Persona 3 FES,PS2,0.63,0.22,0.16,0.2,0.05
XCOM: Enemy Unknown,X360,0.63,0.36,,0.22,0.06
Assassin's Creed IV: Black Flag,PC,0.63,0.24,,0.34,0.05
A Bug's Life,N64,0.63,0.49,,0.13,0.01
Ape Escape 2,PS2,0.63,0.12,0.38,0.09,0.03
The Sims 3: Generations,PC,0.63,0.4,,0.23,
Dogz,GBA,0.63,0.45,,0.17,0.01
Test Drive Unlimited 2,PS3,0.63,0.16,0.01,0.35,0.11
LEGO Pirates of the Caribbean: The Video Game,3DS,0.63,0.29,,0.28,0.06
LEGO Star Wars II: The Original Trilogy,X360,0.63,0.55,,0.03,0.05
Condemned 2: Bloodshot,X360,0.63,0.38,,0.19,0.06
Tony Hawk's Project 8,PS3,0.63,0.3,0.01,0.23,0.1
X-Men Legends II: Rise of Apocalypse,PS2,0.63,0.53,,0.02,0.09
White Knight Chronicles II,PS3,0.63,0.23,0.27,0.09,0.04
Dragon Age II,PC,0.63,0.23,,0.33,0.08
Disney Universe,PS3,0.62,0.3,,0.23,0.09
Madden NFL 07,GC,0.62,0.48,,0.13,0.02
Viewtiful Joe,GC,0.62,0.38,0.12,0.1,0.02
Wall-E,X360,0.62,0.29,,0.26,0.07
Tomb Raider III: Adventures of Lara Croft,PC,0.62,0.59,,0.03,
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,0.62,0.3,0.25,0.03,0.03
Donkey Kong Barrel Blast,Wii,0.62,0.19,0.11,0.26,0.06
Beetle Adventure Racing!,N64,0.62,0.4,,0.2,0.02
F1 2017,PS4,0.62,0.04,0.02,0.47,0.09
Start the Party!,PS3,0.62,0.07,,0.41,0.13
NBA 2K9,PS3,0.62,0.56,0.0,0.0,0.05
Jak and Daxter: The Lost Frontier,PSP,0.62,0.18,0.0,0.28,0.16
Ghostbusters: The Video Game,X360,0.62,0.43,,0.14,0.06
Wet,PS3,0.62,0.22,0.01,0.27,0.11
DJ Hero 2,Wii,0.62,0.48,,0.09,0.04
Dragon Ball Z: Ultimate Tenkaichi,PS3,0.62,0.27,0.09,0.18,0.07
Wild ARMs 3,PS2,0.62,0.16,0.29,0.13,0.04
World of Final Fantasy,PS4,0.62,0.24,0.09,0.21,0.09
Prince of Persia: The Forgotten Sands,X360,0.62,0.3,0.0,0.26,0.06
Metal Gear Solid 2: Substance,XB,0.62,0.38,,0.22,0.03
Samurai Warriors 2,PS2,0.61,0.02,0.57,0.02,0.01
Tony Hawk: RIDE,PS3,0.61,0.38,,0.15,0.08
Advance Wars: Days of Ruin,DS,0.61,0.43,,0.13,0.05
New Play Control! Pikmin 2,Wii,0.61,0.11,0.34,0.13,0.02
Half-Life 2,XB,0.61,0.37,,0.21,0.03
Metroid Prime: Trilogy,Wii,0.61,0.42,,0.05,0.14
Vanquish,PS3,0.61,0.21,0.11,0.22,0.08
Game & Watch Gallery 4,GBA,0.61,0.43,,0.16,0.01
Madden NFL 2002,GC,0.61,0.47,,0.12,0.02
Sacred 2: Fallen Angel,PS3,0.61,0.22,0.08,0.23,0.09
Final Fantasy IV Advance,GBA,0.61,0.27,0.22,0.1,0.01
Harry Potter and the Goblet of Fire,GBA,0.61,0.44,,0.16,0.01
Pro Evolution Soccer 2011,X360,0.61,0.09,,0.44,0.07
Tony Hawk: RIDE,X360,0.61,0.46,,0.1,0.05
James Cameron's Avatar: The Game,PSP,0.61,0.22,,0.25,0.14
Dragon Ball Z: Buu's Fury,GBA,0.61,0.44,,0.16,0.01
Backyard Wrestling: Don't Try This at Home,PS2,0.6,0.3,,0.23,0.08
Fighters Uncaged,X360,0.6,0.31,,0.23,0.06
Rayman Arena,PS2,0.6,0.29,,0.23,0.08
Secret Agent Clank,PS2,0.6,0.13,,0.18,0.29
Split/Second,X360,0.6,0.32,,0.23,0.06
PGR3 - Project Gotham Racing 3,X360,0.6,0.49,0.03,0.03,0.05
Suikoden,PS,0.6,0.21,0.21,0.14,0.04
Transformers: The Game,X360,0.6,0.51,,0.04,0.05
Wave Race: Blue Storm,GC,0.6,0.4,0.09,0.1,0.02
NBA 2K7,X360,0.6,0.55,,0.0,0.05
Ben 10: Alien Force,PSP,0.6,0.36,,0.14,0.11
Call of Juarez: Bound in Blood,X360,0.6,0.3,0.0,0.24,0.06
Half-Life,PS2,0.6,0.29,,0.23,0.08
Medal of Honor: Frontline,GC,0.59,0.46,,0.12,0.02
Dead Space,PC,0.59,,,0.54,0.06
Ready 2 Rumble Boxing,N64,0.59,0.47,,0.11,0.01
NHL 11,PS3,0.59,0.4,,0.13,0.07
Final Fantasy Explorers,3DS,0.59,0.17,0.29,0.1,0.03
XCOM: Enemy Unknown,PS3,0.59,0.25,,0.24,0.1
Assassin's Creed: Brotherhood,PC,0.59,0.16,,0.34,0.09
Naruto: The Broken Bond,X360,0.59,0.24,,0.28,0.06
Asphalt: Urban GT,DS,0.59,0.31,,0.22,0.06
Blur,X360,0.59,0.25,0.0,0.27,0.06
Transformers: War for Cybertron,X360,0.59,0.39,,0.15,0.05
Rock Band 2,PS2,0.59,0.29,,0.23,0.08
Crash Bandicoot: The Wrath of Cortex,GC,0.59,0.46,,0.12,0.02
Call of Duty: Black Ops,DS,0.59,0.5,,0.04,0.04
The Fight: Lights Out,PS3,0.59,0.29,,0.21,0.09
WarioWare D.I.Y.,DS,0.59,0.17,0.2,0.18,0.04
Harvest Moon: Friends of Mineral Town,GBA,0.59,0.34,0.11,0.13,0.01
Alice: Madness Returns,PS3,0.59,0.22,0.04,0.24,0.08
Silent Hill: Shattered Memories,PS2,0.59,0.13,0.01,0.22,0.23
Metal Gear Solid V: Ground Zeroes,PS3,0.59,0.13,0.28,0.13,0.05
Skylanders: SuperChargers,WiiU,0.59,0.32,,0.22,0.05
Kane & Lynch 2: Dog Days,PS3,0.59,0.17,0.05,0.28,0.1
MLB 11: The Show,PS3,0.59,0.55,,,0.05
LEGO Indiana Jones 2: The Adventure Continues,PSP,0.59,0.21,,0.24,0.14
Dead or Alive Xtreme Beach Volleyball,XB,0.59,0.36,0.14,0.08,0.02
Madden NFL 06,X360,0.59,0.54,0.01,0.0,0.03
2002 FIFA World Cup,PS2,0.59,0.21,0.16,0.17,0.06
NHL 12,PS3,0.58,0.36,,0.16,0.07
Tony Hawk's Pro Skater 4,GC,0.58,0.45,,0.12,0.02
Disney Magic World 2,3DS,0.58,0.07,0.23,0.25,0.02
Skate it,Wii,0.58,0.5,,0.03,0.04
Call of Duty: Modern Warfare Remastered,PS4,0.58,0.17,0.03,0.3,0.09
Doom 3 BFG Edition,PS3,0.58,0.26,,0.22,0.1
F1 2013,PS3,0.58,0.01,0.03,0.47,0.08
Championship Motocross featuring Ricky Carmichael,PS,0.58,0.32,,0.22,0.04
NCAA Football 10,PS2,0.58,0.28,,0.22,0.07
Guitar Hero: Smash Hits,Wii,0.58,0.31,,0.21,0.06
Deus Ex: Human Revolution,PC,0.58,0.25,,0.26,0.08
Contra: Shattered Soldier,PS2,0.58,0.28,,0.22,0.07
LEGO Worlds,NS,0.58,0.21,0.0,0.33,0.04
Disgaea 4: A Promise Unforgotten,PS3,0.58,0.27,0.14,0.11,0.06
Diablo,PS,0.58,0.29,0.07,0.19,0.04
Final Fantasy: The 4 Heroes of Light,DS,0.58,0.22,0.23,0.1,0.03
Kirby and the Rainbow Curse,WiiU,0.58,0.26,0.13,0.14,0.04
Tenchu 2: Birth of the Stealth Assassins,PS,0.58,0.32,,0.22,0.04
Tom Clancy's HAWX,X360,0.58,0.31,0.02,0.19,0.06
International Superstar Soccer '98,N64,0.58,0.06,0.19,0.3,0.03
Blacksite: Area 51,X360,0.57,0.29,,0.23,0.06
Tomb Raider: Anniversary,PSP,0.57,0.21,,0.23,0.13
StarCraft II: Legacy of the Void,PC,0.57,0.23,,0.3,0.05
Disney Universe,X360,0.57,0.37,,0.14,0.05
SpongeBob SquarePants: Battle for Bikini Bottom,XB,0.57,0.45,,0.1,0.02
Spider-Man 3,X360,0.57,0.49,,0.04,0.04
Beyond The Beyond,PS,0.57,0.11,0.35,0.08,0.04
Rock Band 3,PS3,0.57,0.43,,0.09,0.06
Trivial Pursuit,Wii,0.57,0.2,,0.3,0.06
Madden NFL 06,GC,0.57,0.44,,0.11,0.02
London 2012: The Official Video Game of the Olympic Games,X360,0.57,0.07,,0.44,0.06
NHL 10,PS3,0.57,0.38,,0.12,0.07
ATV Offroad Fury: Blazin' Trails,PSP,0.57,0.53,,0.0,0.04
Resident Evil Outbreak File #2,PS2,0.57,0.19,0.17,0.15,0.05
Starlink: Battle for Atlas,NS,0.57,0.35,,0.17,0.05
BlazBlue: Calamity Trigger,PS3,0.57,0.36,0.06,0.1,0.06
Ultra Street Fighter II: The Final Challengers,NS,0.57,0.22,0.09,0.22,0.04
Top Spin 3,PS3,0.57,0.08,0.0,0.37,0.12
