title,platform,total_sales,na_sales,jp_sales,pal_sales,other_sales
Guitar Hero III: Legends of Rock,Wii,4.6,3.04,0.0,1.12,0.44
FIFA 15,PS3,4.56,0.59,0.04,3.25,0.68
Mario & Sonic at the Olympic Winter Games,Wii,4.54,1.87,0.22,1.97,0.48
Overwatch,PS4,4.54,1.84,0.17,1.8,0.73
Guitar Hero III: Legends of Rock,X360,4.53,3.19,0.01,0.91,0.42
Madden NFL 2005,PS2,4.53,4.18,0.01,0.26,0.08
Spider-Man: The Movie,PS2,4.48,2.71,0.03,1.51,0.23
The Elder Scrolls IV: Oblivion,X360,4.47,2.89,0.13,1.03,0.41
Tony Hawk's Pro Skater 3,PS2,4.41,2.66,0.01,1.29,0.46
Winning Eleven: Pro Evolution Soccer 2007,PS2,4.39,0.1,1.05,2.39,0.86
Need for Speed: Most Wanted,PS2,4.37,2.03,0.08,1.79,0.47
Michael Jackson: The Experience,Wii,4.37,2.64,0.01,1.33,0.39
Call of Duty: Advanced Warfare,X360,4.34,2.81,0.0,1.13,0.41
Batman: Arkham Asylum,PS3,4.28,2.26,0.07,1.33,0.63
Call of Duty: Advanced Warfare,PS3,4.27,1.59,0.2,1.81,0.67
Assassin's Creed: Revelations,PS3,4.23,1.41,0.1,2.03,0.69
Assassin's Creed: Revelations,X360,4.22,2.28,0.04,1.47,0.44
FIFA Soccer 06,PS2,4.21,0.78,0.04,2.55,0.84
Street Fighter IV,PS3,4.19,2.04,0.59,1.05,0.52
FIFA Soccer 12,X360,4.18,0.85,0.02,2.79,0.52
Call of Duty: Ghosts,PS4,4.17,1.79,0.05,1.64,0.69
Teenage Mutant Ninja Turtles,NES,4.17,3.38,0.31,0.44,0.04
Star Wars Battlefront (2015),XOne,4.15,2.49,0.02,1.26,0.38
Madden NFL 2003,PS2,4.14,3.36,0.01,0.21,0.56
FIFA 07 Soccer,PS2,4.11,0.71,0.03,2.48,0.89
Batman: Arkham Knight,PS4,4.11,1.65,0.11,1.68,0.66
The Sims 4,PC,4.1,1.2,,2.6,0.3
Fallout: New Vegas,X360,4.08,2.67,0.04,1.03,0.34
Carnival Games,Wii,4.06,2.12,0.05,1.47,0.42
Far Cry 4,PS4,4.06,1.18,0.11,2.14,0.63
World Soccer Winning Eleven 9,PS2,4.06,0.12,0.9,2.26,0.77
