game_id,na_sales,jp_sales,pal_sales,other_sales,total_sales
147,2.02,,1.17,0.42,3.61
148,1.93,0.03,1.22,0.44,3.61
149,2.05,,1.4,0.16,3.61
150,0.9,0.08,2.06,0.55,3.6
151,2.18,0.03,1.02,0.37,3.59
152,1.6,0.1,1.49,0.39,3.58
153,1.23,0.05,1.77,0.49,3.54
154,1.66,0.12,1.58,0.18,3.54
155,1.56,0.07,1.4,0.5,3.54
156,2.16,0.02,1.05,0.32,3.54
157,2.24,0.02,0.95,0.33,3.54
158,2.13,0.12,0.93,0.34,3.53
159,2.87,0.03,0.39,0.25,3.53
160,1.98,0.01,1.14,0.41,3.53
161,0.71,0.02,2.39,0.4,3.52
162,2.28,0.03,0.59,0.63,3.52
163,0.59,0.04,2.36,0.51,3.49
164,2.43,0.03,0.72,0.3,3.48
165,2.11,0.04,1.01,0.33,3.48
166,1.21,0.27,1.63,0.37,3.47
167,2.1,0.01,1.01,0.35,3.46
168,1.55,0.33,1.27,0.29,3.44
169,2.07,,1.04,0.34,3.44
170,2.06,0.03,1.04,0.31,3.44
171,1.83,0.06,1.07,0.47,3.43
172,1.13,,2.07,0.22,3.42
173,2.17,,0.92,0.32,3.41
174,1.75,0.02,1.2,0.43,3.41
175,1.56,0.19,1.47,0.17,3.39
176,1.24,0.08,1.5,0.54,3.36
177,1.9,0.01,1.14,0.3,3.34
178,2.13,0.04,0.57,0.59,3.34
179,1.99,0.05,1.05,0.22,3.31
180,2.39,,0.31,0.61,3.3
181,1.5,0.05,1.28,0.46,3.28
182,2.3,,0.37,0.6,3.28
183,0.92,,2.1,0.24,3.25
184,1.29,0.12,1.31,0.49,3.21
185,1.72,,1.33,0.16,3.21
186,1.76,0.07,1.21,0.16,3.2
187,1.07,0.06,1.55,0.51,3.19
188,1.18,0.09,1.4,0.51,3.18
189,1.54,0.1,1.04,0.49,3.17
190,1.87,,0.97,0.3,3.14
191,0.98,,1.92,0.23,3.14
192,1.69,0.14,0.86,0.44,3.12
193,1.07,0.22,1.35,0.47,3.12
194,2.62,0.01,0.21,0.28,3.11
195,1.99,0.03,0.81,0.27,3.1
196,1.8,,0.98,0.29,3.08
197,1.98,0.02,0.79,0.28,3.07
198,1.92,,0.86,0.28,3.07
199,1.75,,1.02,0.29,3.06
200,1.91,,0.84,0.29,3.05
201,1.94,0.03,0.84,0.24,3.04
202,1.54,,1.33,0.16,3.03
203,1.85,,1.04,0.13,3.02
204,1.57,,1.02,0.41,3.0
205,1.33,0.08,1.11,0.44,2.96
206,1.83,0.15,0.7,0.26,2.95
207,2.53,,0.16,0.24,2.93
208,0.8,,1.9,0.21,2.91
209,1.83,0.03,0.79,0.27,2.91
210,1.98,,0.54,0.38,2.9
211,1.41,0.05,1.12,0.3,2.89
212,1.75,,0.86,0.28,2.89
213,1.3,,1.26,0.31,2.87
214,0.09,0.12,2.43,0.22,2.87
215,0.72,0.04,1.67,0.44,2.87
216,2.09,0.03,0.63,0.11,2.86
217,1.87,0.11,0.57,0.3,2.85
218,2.52,,0.09,0.22,2.83
219,1.65,0.05,0.85,0.28,2.83
220,1.59,0.04,1.05,0.14,2.82
221,0.43,0.31,0.91,1.16,2.82
222,1.28,0.07,1.04,0.43,2.82
223,1.32,,1.19,0.3,2.81
224,1.05,0.03,1.24,0.49,2.81
225,1.46,0.09,0.87,0.38,2.81
226,1.35,,1.15,0.3,2.79
227,1.96,,0.72,0.11,2.79
228,1.74,,0.78,0.26,2.77
229,1.26,0.07,1.14,0.3,2.77
230,0.89,,1.44,0.43,2.76
231,0.71,0.06,1.52,0.45,2.74
232,0.63,0.07,1.61,0.41,2.73
233,1.55,0.02,0.92,0.24,2.73
234,1.63,,0.84,0.25,2.72
235,0.59,0.06,1.66,0.41,2.72
236,1.47,,0.99,0.25,2.71
237,2.12,,0.24,0.36,2.71
238,2.43,,0.11,0.16,2.7
239,1.49,0.02,0.92,0.27,2.7
240,1.85,0.01,0.64,0.19,2.69
241,2.38,,0.12,0.19,2.69
242,1.23,,1.11,0.34,2.68
243,1.44,,1.09,0.14,2.67
244,1.48,0.01,0.92,0.26,2.67
245,0.78,0.89,0.75,0.23,2.66
246,0.86,0.01,1.11,0.67,2.66
247,1.78,,0.64,0.25,2.66
248,0.69,0.04,1.4,0.52,2.65
249,1.59,,0.8,0.26,2.65
250,1.58,0.04,0.8,0.22,2.64
251,2.32,0.01,0.14,0.17,2.64
252,1.74,0.05,0.46,0.39,2.63
253,0.6,0.01,1.79,0.23,2.62
254,1.73,,0.42,0.47,2.62
255,0.65,0.01,1.27,0.68,2.61
256,1.08,0.03,1.22,0.27,2.6
257,0.49,0.04,1.63,0.43,2.59
258,1.4,0.03,0.88,0.26,2.58
259,1.76,0.03,0.55,0.22,2.56
260,0.43,0.05,1.68,0.38,2.55
261,2.21,,0.12,0.2,2.54
262,1.13,0.06,1.12,0.22,2.52
263,0.6,0.08,1.45,0.38,2.51
264,1.59,0.05,0.54,0.33,2.5
265,2.29,,0.02,0.19,2.5
266,1.84,,0.56,0.09,2.49
267,1.81,,0.52,0.15,2.49
268,1.47,,0.77,0.24,2.49
269,0.86,0.18,1.06,0.37,2.48
270,2.13,,0.08,0.26,2.47
271,1.93,,0.33,0.21,2.47
272,1.38,0.0,0.84,0.25,2.47
273,1.29,,0.94,0.22,2.45
274,2.14,,0.04,0.26,2.44
275,2.12,,0.25,0.07,2.44
276,1.56,0.02,0.61,0.23,2.42
277,1.26,0.46,0.61,0.08,2.42
278,0.87,,0.97,0.58,2.42
279,1.44,0.04,0.71,0.22,2.41
280,1.73,0.02,0.43,0.23,2.41
281,0.29,0.54,1.18,0.41,2.41
282,2.01,,0.15,0.25,2.41
283,2.07,,0.26,0.08,2.41
284,1.72,0.01,0.45,0.22,2.4
285,2.05,,0.15,0.2,2.4
286,2.3,,0.1,,2.4
287,2.15,,0.18,0.07,2.39
288,1.48,,0.7,0.21,2.38
289,0.96,0.04,1.08,0.3,2.37
290,2.03,,0.13,0.21,2.37
291,2.18,,0.01,0.18,2.37
292,1.39,,0.64,0.33,2.36
293,1.51,,0.62,0.22,2.35
294,1.07,0.08,0.8,0.38,2.34
295,1.38,0.02,0.72,0.21,2.33
296,2.02,,0.07,0.25,2.33
297,0.79,0.04,1.35,0.14,2.32
298,1.18,,0.9,0.24,2.32
299,1.51,,0.59,0.22,2.32
300,1.28,0.0,0.82,0.2,2.31
301,1.02,,0.93,0.36,2.31
302,1.08,0.15,0.74,0.32,2.29
303,0.91,,1.25,0.13,2.29
304,1.07,,1.0,0.22,2.29
305,0.3,0.46,1.27,0.26,2.28
306,1.38,,0.8,0.1,2.28
307,1.93,,0.15,0.18,2.27
308,0.89,0.04,0.97,0.37,2.26
309,1.4,0.02,0.53,0.3,2.25
310,1.17,,0.84,0.23,2.24
311,0.88,,1.03,0.31,2.22
312,1.01,,0.86,0.35,2.22
313,2.01,,0.02,0.17,2.21
314,1.78,,0.24,0.18,2.2
315,1.03,0.0,0.96,0.21,2.2
316,1.45,0.02,0.54,0.2,2.2
317,1.06,,0.9,0.23,2.2
318,0.64,,1.39,0.16,2.19
319,0.34,0.55,0.97,0.32,2.19
320,1.68,,0.44,0.08,2.19
321,1.3,0.01,0.67,0.21,2.19
322,0.62,0.04,1.18,0.34,2.18
323,1.92,,0.2,0.06,2.18
324,1.5,,0.46,0.19,2.16
325,0.52,,1.03,0.59,2.14
326,1.2,,0.84,0.1,2.14
327,1.62,0.05,0.27,0.18,2.13
328,1.22,,0.61,0.29,2.12
329,1.64,,0.31,0.17,2.12
330,1.68,,0.4,0.03,2.11
331,1.68,0.02,0.31,0.09,2.11
332,0.11,0.4,1.34,0.26,2.11
333,1.86,0.01,0.12,0.13,2.11
334,0.62,0.13,0.99,0.34,2.09
335,1.77,0.02,0.13,0.17,2.09
336,0.46,0.96,0.42,0.25,2.08
337,1.33,,0.56,0.2,2.08
338,2.04,,0.04,,2.08
339,1.41,0.01,0.49,0.17,2.08
340,1.48,0.0,0.39,0.19,2.07
341,0.92,,0.93,0.22,2.07
342,1.84,0.01,0.04,0.16,2.06
343,0.68,0.79,0.46,0.13,2.06
344,1.15,0.04,0.77,0.1,2.06
345,1.2,0.04,0.62,0.19,2.06
346,0.63,0.05,1.01,0.38,2.06
347,0.75,0.54,0.53,0.22,2.05
348,1.52,,0.29,0.25,2.05
349,1.04,0.01,0.79,0.21,2.05
350,0.29,1.43,0.22,0.1,2.04
351,0.48,0.02,1.28,0.25,2.04
352,0.73,0.04,0.91,0.36,2.04
353,1.7,,0.12,0.21,2.04
354,1.45,0.01,0.41,0.16,2.04
355,1.62,,0.03,0.38,2.04
356,0.72,,1.08,0.23,2.03
357,0.73,0.02,0.96,0.31,2.03
358,1.67,,0.14,0.21,2.02
359,0.37,,1.34,0.31,2.02
360,1.47,,0.39,0.16,2.02
361,0.58,0.03,1.05,0.35,2.01
362,0.48,,1.27,0.24,2.0
363,1.05,,0.66,0.29,2.0
364,0.95,0.27,0.64,0.13,1.99
365,1.21,0.05,0.64,0.09,1.99
366,1.58,,0.23,0.18,1.99
367,0.53,0.09,1.07,0.3,1.98
368,0.5,0.63,0.5,0.33,1.96
369,1.09,0.02,0.65,0.2,1.95
370,1.26,,0.61,0.09,1.95
371,1.01,0.02,0.63,0.28,1.95
372,1.17,,0.58,0.18,1.94
373,0.49,0.01,1.26,0.18,1.94
374,1.0,,0.72,0.21,1.93
375,0.92,0.41,0.53,0.06,1.92
376,1.1,,0.55,0.27,1.92
377,0.76,,0.96,0.2,1.92
378,1.63,,0.07,0.2,1.91
379,0.73,0.01,0.96,0.22,1.91
380,1.03,0.03,0.75,0.09,1.9
381,0.86,0.01,0.87,0.16,1.9
382,1.56,0.0,0.15,0.18,1.89
383,0.69,0.52,0.56,0.12,1.89
384,0.92,,0.72,0.24,1.88
385,0.22,0.04,1.47,0.14,1.87
386,1.05,0.08,0.48,0.26,1.87
387,,,1.37,0.49,1.86
388,0.94,0.39,0.44,0.1,1.86
389,0.94,,0.74,0.18,1.86
390,0.87,0.41,0.52,0.06,1.86
391,0.56,0.11,0.9,0.28,1.86
392,1.12,0.03,0.69,0.02,1.86
393,1.11,0.0,0.56,0.19,1.86
394,0.74,0.01,0.95,0.15,1.84
395,0.82,,0.82,0.2,1.84
396,1.13,,0.53,0.17,1.83
397,0.74,0.04,0.74,0.3,1.82
398,1.09,0.02,0.53,0.17,1.82
399,1.1,0.12,0.51,0.08,1.81
400,1.01,,0.62,0.15,1.79
401,1.14,,0.47,0.17,1.78
402,0.86,,0.67,0.22,1.76
403,1.07,0.01,0.45,0.24,1.76
404,1.06,,0.54,0.16,1.76
405,1.15,,0.45,0.16,1.76
406,0.45,0.06,0.92,0.32,1.75
407,0.35,0.02,1.07,0.31,1.75
408,0.95,,0.7,0.08,1.73
409,1.48,,0.2,0.05,1.73
410,0.85,,0.66,0.22,1.73
411,0.61,,0.18,0.94,1.72
412,0.85,,0.66,0.22,1.72
413,0.75,0.06,0.62,0.28,1.72
414,1.17,,0.39,0.15,1.71
415,0.83,0.02,0.62,0.24,1.71
416,0.41,,0.99,0.31,1.71
417,0.74,0.07,0.52,0.38,1.71
418,1.58,,,0.12,1.7
419,1.41,,0.05,0.23,1.7
