platform
PS3
PS4
PS2
X360
XOne
PC
PSP
PS
Wii
DS
NES
XB
GBA
PSN
DC
N64
GBC
GC
NS
PSV
WiiU
GB
3DS
SAT
SNES
GEN
XBL
VC
